X,Y,objectid,facility_name,facility_type,licensee,address,city,state,island,phone,license_num,license_exp,males,females,capacity,amb_type,wheelchair_appr,diet_type
-155.068361409611,19.6759353982035,11,"Acedo, Melba",Type I  Adult Residential Care Home,Melba Daak,2501-A Kinoole Street,Hilo,Hawaii,Big Island,8089812909,714-C,2022/03/31 00:00:00+00,0,1,4,Ambulatory,No,Special
-157.876438714308,21.3425139408649,12,"Acnam's Care Home, LLC",Type I Expanded Adult Residential Care Home,Castora Acnam,2467 North School Street,Honolulu,Hawaii,Oahu,8088453589,1041-C,2022/07/31 00:00:00+00,2,2,5,Ambulatory,Yes,Special
-157.922192788332,21.3653451381009,13,ACT Care Services LLC,Type I Expanded Adult Residential Care Home,Antonette Sarmiento,1453 Uila Street,Honolulu,Hawaii,Oahu,8085948177,1624-C,2021/12/31 00:00:00+00,4,4,5,Ambulatory,Yes,Special
-157.922324519438,21.3652332827948,14,ACTG ARCH #2,Type II Expanded Adult Residential Care Home,Teofista Gallegos,1447 Uila Street,Honolulu,Hawaii,Oahu,8084225888,1205-C,2022/06/30 00:00:00+00,1,1,8,Ambulatory,Yes,Special
-158.026436072855,21.3807651144419,15,Adele Care Home,Type I  Expanded Adult Residential Care Home,Walter A. Corpuz,94-252 Kipou Street,Waipahu,Hawaii,Oahu,8083545152,1648-C,2022/03/31 00:00:00+00,,,5,,No,
-157.872719995237,21.341425440623,16,Adult Res Care Home,Type I Expanded Adult Residential Care Home,Delia Laurena,1654 Hauiki Street,Honolulu,Hawaii,Oahu,8088459373,1428-C,2022/06/30 00:00:00+00,2,2,5,Ambulatory,Yes,Special
-158.001637468482,21.3964649357474,17,"Agraan, Gliseria",Type I Expanded Adult Residential Care Home,Gliseria Agraan,94-1266 Hiapo Street,Waipahu,Hawaii,Oahu,8086761567,1200-C,2022/07/31 00:00:00+00,3,3,5,Ambulatory,Yes,Special
-159.457430811771,21.9047679320703,18,"Aguinaldo, Evangeline",Type I  Adult Residential Care Home,Evangeline Aguinaldo,3787 Mamaki Street,Koloa,Hawaii,Kauai,8087422044,984-C,2022/05/31 00:00:00+00,0,0,3,Ambulatory,No,Special
-157.922009966911,21.3578932949707,19,Aguinaldo's,Type I Expanded Adult Residential Care Home,Serafina Aguinaldo,4406 Likini Street,Honolulu,Hawaii,Oahu,8084232196,1175-C,2022/02/28 00:00:00+00,2,2,5,Ambulatory,Yes,Special
-157.895708422754,21.3634661709411,20,Ai ARCH,Type I Expanded Adult Residential Care Home,Josephine Harris,1329 Ala Aolani Street,Honolulu,Hawaii,Oahu,8084896453,1369-C,2022/03/31 00:00:00+00,0,0,5,Ambulatory,Yes,Special
-157.805460000144,21.393746999602,21,Aida's,Type I Expanded Adult Residential Care Home,Zenaida Bautista,45-552 Liula Street,Kaneohe,Hawaii,Oahu,8082351637,640-C,2022/02/28 00:00:00+00,3,3,5,Ambulatory,Yes,Special
-157.927720499738,21.3852510000662,22,"Aiea Adult Residential Care Home, LLC",Type I Expanded Adult Residential Care Home,Rowena Lat,98-845 Iliee Street,Aiea,Hawaii,Oahu,8084781876,1650-C,2022/03/31 00:00:00+00,,,5,,No,
-157.907398500449,21.3930000002529,23,Aiea Heights Senior Living,Type II Expanded Adult Residential Care Home,Satoru Izatsu,99-1657 Aiea Heights Drive,Aiea,Hawaii,Oahu,8084885521,112-C,2022/08/31 00:00:00+00,1,1,22,Fully Ambulatory,Yes,Special
-157.751085311775,21.2823127191343,24,Aina Haina ARCH,Type I Expanded Adult Residential Care Home,Lan Chen,237 East Hind Drive,Honolulu,Hawaii,Oahu,8083583354,1456-C,2022/04/30 00:00:00+00,3,2,5,Ambulatory,Yes,Special
-157.750687183943,21.2818686801926,25,Aina Haina Quality Living,Type II Expanded Adult Residential Care Home,Jabs Ryan,5304 Limu Place,Honolulu,Hawaii,Oahu,8083734141,1458-C,2021/11/30 00:00:00+00,3,2,8,Ambulatory,Yes,Special
-154.997471406157,19.5672864262421,26,AJS Expanded Care Home,Type I Expanded Adult Residential Care Home,Angelica Salom,16-1566 Keaau-Pahoa Road,Keeau,Hawaii,Big Island,8089824595,1645-C,2022/02/28 00:00:00+00,,,4,,No,
-156.497094417849,20.9213758071753,27,Akalei Hale,Type I  Adult Residential Care Home,Elisa Villanueva,61 Hoauna Street,Wailuku,Hawaii,Maui,8082441381,645-C,2022/01/31 00:00:00+00,2,2,5,Ambulatory,No,Special
-157.993123499577,21.4015139998588,28,"Alaag, L.L.C. ARCH",Type I  Adult Residential Care Home,Linda Guting,94-1032 A Lumikula Street,Waipahu,Hawaii,Oahu,8086778669,481-C,2022/09/30 00:00:00+00,1,1,5,Ambulatory,No,Special
-157.997315775192,21.3963031480714,29,Alde Care Home,Type I  Adult Residential Care Home,Delia Lampitoc,94-1475 Hiapo Street,Waipahu,Hawaii,Oahu,8086710531,1065-C,2021/11/30 00:00:00+00,1,1,5,Ambulatory,No,Special
-157.920753230874,21.373584455026,30,Aletha's Expanded ARCH,Type I Expanded Adult Residential Care Home,Florence Fayloga,99-631 Ulune Street,Aiea,Hawaii,Oahu,8084871706,1400-C,2022/06/30 00:00:00+00,2,1,5,Ambulatory,Yes,Special
-157.920322634975,21.3642645082902,31,Alfe,Type I Expanded Adult Residential Care Home,Virginia Baptista,1464 Puanakau Street,Honolulu,Hawaii,Oahu,8084228157,1353-C,2022/01/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-157.920322634975,21.3642645082902,32,Alfe II,Type I Expanded Adult Residential Care Home,Bernadette Heafner,1464 Puanakau Street,Honolulu,Hawaii,Oahu,8084228568,1425-C,2022/02/28 00:00:00+00,3,2,5,Ambulatory,Yes,Special
-155.140897199462,19.675790916268,33,"Aliga, Nelly",Type I Expanded Adult Residential Care Home,Nelly Aliga,174 Lukia Street,Hilo,Hawaii,Big Island,8089356208,1069-C,2022/04/30 00:00:00+00,0,0,5,Ambulatory,Yes,Special
-159.342857549665,22.1003274746699,34,"All Hearts ARCH, L.L.C.",Type I  Adult Residential Care Home,Lalaine Rabaino,5962 Kawaihau Road,Kapaa,Hawaii,Kauai,8088227907,1392-C,2022/04/30 00:00:00+00,3,2,4,Ambulatory,Yes,Regular
-158.012402058733,21.3926493993845,35,"Allcare Senior Services, Inc.",Type I Expanded Adult Residential Care Home,Christie Garcia,94-920 Kumuao Street,Waipahu,Hawaii,Oahu,8083124791,1602-C,2022/04/30 00:00:00+00,4,4,4,Fully Ambulatory,No,Special
-158.183290141658,21.4387180393938,36,Aloha ARCH,Type I Expanded Adult Residential Care Home,Marlyn Acuram,86-107 Hoaha Street,Waianae,Hawaii,Oahu,8086962430,1287-C,2022/03/31 00:00:00+00,0,3,5,Ambulatory,Yes,Special
-158.01455107137,21.3210132839485,37,"Aloha Lifeline ARCH/E-ARCH, LLC",Type I Expanded Adult Residential Care Home,Romera Jornacion,91-983 Ikulani Street,Ewa Beach,Hawaii,Oahu,8086895031,1418-C,2022/01/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-157.959382943987,21.4048596732862,38,Aloha Nui Care Home LLC,Type I  Adult Residential Care Home,Min Hye Takamatsu,1662 Hookani Street,Pearl City,Hawaii,Oahu,8082847978,1585-C,2021/11/30 00:00:00+00,5,5,5,Ambulatory,Yes,Special
-157.899713497428,21.3548725417975,39,"Amodo, Gloria",Type I  Adult Residential Care Home,Gloria Amodo,1437 Ala Leleu Street,Honolulu,Hawaii,Oahu,8088394107,955-C,2022/02/28 00:00:00+00,2,0,4,Fully Ambulatory,No,Special
-155.471721433857,20.0794037427316,40,"Anastacio, Faye V.",Type I  Adult Residential Care Home,Faye Anastacio,45-507 Kahili Street,Honokaa,Hawaii,Big Island,8087757324,859-C,2021/12/31 00:00:00+00,0,0,3,Fully Ambulatory,No,Special
-158.002451141409,21.3812734080151,41,"Ancheta, Imelda",Type I Expanded Adult Residential Care Home,Imelda Ancheta,94-854 Awanei Street,Waipahu,Hawaii,Oahu,8086777486,1239-C,2022/02/28 00:00:00+00,1,2,5,Ambulatory,Yes,Special
-157.722522133024,21.3756708839208,42,Angel Home For Seniors,Type I Expanded Adult Residential Care Home,Arcelie Cabel,1315 Kupau Street,Kailua,Hawaii,Oahu,8082217766,1395-C,2022/05/31 00:00:00+00,1,2,5,Ambulatory,Yes,Special
-158.005371280401,21.3863602636359,43,Anne-Drew's Gentle,Type I Expanded Adult Residential Care Home,Mary Jeanne Onato,94-921 Kahuailani Street,Waipahu,Hawaii,Oahu,8086783936,1367-C,2021/12/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-158.019166561564,21.3856442653,44,Annelyn Raval,Type I Expanded Adult Residential Care Home,Annelyn Raval,94-362 Apowale Street,Waipahu,Hawaii,Oahu,8084977103,844-C,2022/04/30 00:00:00+00,1,1,5,Ambulatory,No,Regular
-155.814546421942,20.2289791898248,45,"Ano Ano, L.L.C.",Type I  Adult Residential Care Home,Melton Marc,"54-2489 Kynnersley Road, Lot C",Kapaau,Hawaii,Big Island,8088845265,1507-C,2021/11/30 00:00:00+00,3,3,5,Ambulatory,Yes,Special
-158.002731000268,21.3983190000503,46,Apostol Care Home ARCH,Type I Expanded Adult Residential Care Home,Edwin Apostol,94-1244 Hinaea Street,Waipahu,Hawaii,Oahu,8086715217,1466-C,2022/10/31 00:00:00+00,3,0,5,Ambulatory,Yes,Special
-157.880169747736,21.342798597882,47,"Apuya, Roger",Type I  Adult Residential Care Home,Roger Apuya,2517 Hoenui Street,Honolulu,Hawaii,Oahu,8088455472,1362-C,2022/10/31 00:00:00+00,0,0,5,Ambulatory,No,Special
-158.021383814773,21.3887573134243,48,Armando Biacan Care Home,Type I Expanded Adult Residential Care Home,Armando Biacan,94-565 Loaa Street,Waipahu,Hawaii,Oahu,,1636-C,2021/12/31 00:00:00+00,,,,,No,
-155.071079431763,19.6913962558244,49,Arzaga's Adult Residential Care LLC,Type I Expanded Adult Residential Care Home,Noemi Arzaga,57 Maikai Street,Hilo,Hawaii,Big Island,8089357680,1623-C,2021/12/31 00:00:00+00,5,5,5,Ambulatory,Yes,Regular
-158.174825128659,21.4153675466049,50,"Atanes, Remedios",Type I  Adult Residential Care Home,Remedios Atanes,87-542 Manuu Street,Waianae,Hawaii,Oahu,8086684214,589-C,2022/08/31 00:00:00+00,0,0,4,Ambulatory,No,Special
-157.935383081731,21.3821487127539,51,Aumoa Care Home LLC,Type I  Adult Residential Care Home,Maria Ross,98-562 Kaimu Loop,Aiea,Hawaii,Oahu,8084254962,1598-C,2021/12/31 00:00:00+00,5,5,5,Ambulatory,Yes,Special
-157.86298727782,21.3326324747906,52,"Aupuni Hale Hoolu, LLC",Type I Expanded Adult Residential Care Home,Vilma Yun,1805 Aupuni Street,Honolulu,Hawaii,Oahu,8088412202,1490-C,2022/08/31 00:00:00+00,4,4,5,Ambulatory,Yes,Special
-155.003954230424,19.5790178121349,53,Aurora Patao ARCH,Type I Expanded Adult Residential Care Home,Aurora Patao,15-1395 29th Avenue,Keaau,Hawaii,Big Island,8089666881,1057-C,2021/12/31 00:00:00+00,0,3,5,Ambulatory,Yes,Special
-158.01368447177,21.3224738743249,54,Aurora's,Type I Expanded Adult Residential Care Home,Aurora Alejandro,91-1112 Kiwi Street,Ewa Beach,Hawaii,Oahu,8086895936,1111-C,2022/08/31 00:00:00+00,0,1,5,Ambulatory,No,Special
-157.016086678336,21.0916076979202,55,"Badua, Lily",Type I Expanded Adult Residential Care Home,Lily Badua,260 Ala Malama Avenue,Kaunakakai,Hawaii,Molokai,8085535581,874-C,2021/11/30 00:00:00+00,0,0,5,Fully Ambulatory,No,Special
-157.863438517524,21.3444966541488,56,"Bala, Leticia",Type I Expanded Adult Residential Care Home,Leticia Bala,1617 Machado Street,Honolulu,Hawaii,Oahu,8088430113,731-C,2022/07/31 00:00:00+00,2,2,5,Ambulatory,Yes,Special
-158.000756022842,21.3272538992435,57,Balico's,Type I Expanded Adult Residential Care Home,Leticia Balico,91-1204 Kauiki Street,Ewa Beach,Hawaii,Oahu,8086897494,1388-C,2022/12/31 00:00:00+00,2,1,5,Ambulatory,Yes,Special
-155.099777630193,19.8308254820033,58,"Baptista, Myrna",Type I  Adult Residential Care Home,Myrna Baptista,28-2845 Makahana Street,Pepeekeo,Hawaii,Big Island,8089873287,576-C,2022/10/31 00:00:00+00,0,0,3,Ambulatory,No,Special
-157.868124612021,21.3427696895565,59,"Bautista, Dolores",Type I  Adult Residential Care Home,Dolores Bautista,1939 Waikahe Place,Honolulu,Hawaii,Oahu,8088471610,979-C,2022/05/31 00:00:00+00,0,0,3,Ambulatory,No,Special
-158.001769051843,21.3223858329908,60,"Baybayan, Rosita",Type I  Adult Residential Care Home,Rosita Baybayan,91-810 Haiamu Street,Ewa Beach,Hawaii,Oahu,8086898662,658-C,2021/11/30 00:00:00+00,1,1,5,Ambulatory,Yes,Regular
-157.820690325652,21.3066338216296,61,Beckwith Manoa Senior Care,Type I  Adult Residential Care Home,Beverley Young,2375 Beckwith Street,Honolulu,Hawaii,Oahu,8084978489,1548-C,2022/09/30 00:00:00+00,5,5,5,Fully Ambulatory,Yes,Special
-158.0003720482,21.3985683279479,62,"Beltran, Milagros",Type I Expanded Adult Residential Care Home,Milagros Beltran,94-1382 Henokea Street,Waipahu,Hawaii,Oahu,8086710354,590-C,2022/09/30 00:00:00+00,0,0,5,Ambulatory,Yes,Special
-158.004220857136,21.3949843482007,63,"Billena, Mathilda",Type I  Adult Residential Care Home,Mathilda Billena,94-1169 Limahana Street,Waipahu,Hawaii,Oahu,8086710670,569-C,2022/02/28 00:00:00+00,1,0,5,Ambulatory,No,Regular
-157.854136248913,21.316333829775,64,Birds of Paradise Home Corp.,Type I  Adult Residential Care Home,Mely Co,50 Hialoa Street,Honolulu,Hawaii,Oahu,8082254182,1616-C,2022/09/30 00:00:00+00,3,3,3,Fully Ambulatory,No,Special
-158.003663074791,21.3904793692676,65,Blandina S. Retuta LLC,Type I Expanded Adult Residential Care Home,Blandina Retuta,94-1116 Kahuailani Street,Waipahu,Hawaii,Oahu,8086764419,1019-C,2022/05/31 00:00:00+00,0,0,5,Ambulatory,Yes,Special
-158.031158552182,21.3329968640904,66,Blue Ocean Care Home,Type I  Adult Residential Care Home,Sook Yang Lee Kimoto,91-1030 Keoneae Place,Ewa Beach,Hawaii,Oahu,8087836340,1498-C,2022/06/30 00:00:00+00,2,2,3,Ambulatory,No,Special
-158.016750726585,21.3841324654362,67,"Bolosan, Carmelita",Type I  Adult Residential Care Home,Carmelita Bolosan,94-087 Waikele Loop,Waipahu,Hawaii,Oahu,8086712983,845-C,2022/12/31 00:00:00+00,0,1,5,Ambulatory,No,Special
-158.016661381754,21.3835704086023,68,"Bolosan, Domie",Type I  Adult Residential Care Home,Domie Bolosan,94-039 Waikele Loop,Waipahu,Hawaii,Oahu,8086773743,785-C,2022/09/30 00:00:00+00,0,0,4,Fully Ambulatory,No,Special
-155.912210410222,19.4966121495835,69,Buenavista Adult Residential Care Home,Type I Expanded Adult Residential Care Home,Sandy Buenavista,81-2010 Haku Nui Road,Captain Cook,Hawaii,Big Island,8083232281,1320-C,2021/12/31 00:00:00+00,0,1,4,Ambulatory,Yes,Special
-158.012311472832,21.3925419023492,70,Bueno #2,Type I Expanded Adult Residential Care Home,Felicitas Caballero,94-916 Kumuao Street,Waipahu,Hawaii,Oahu,8086789514,1240-C,2022/05/31 00:00:00+00,0,0,5,Ambulatory,Yes,Special
-157.873169170482,21.3393448166037,71,"Bumanglag, Violeta",Type I  Adult Residential Care Home,Violeta Bumanglag,2152 North School Street,Honolulu,Hawaii,Oahu,8088451397,732-C,2022/07/31 00:00:00+00,0,0,5,Ambulatory,No,Regular
-157.858728091373,21.3483430481653,72,"Cabico, Aurora",Type I  Adult Residential Care Home,Aurora Cabico,1721 Merkle Street,Honolulu,Hawaii,Oahu,8088450113,966-C,2022/08/31 00:00:00+00,0,0,5,Ambulatory,No,Regular
-158.018598542759,21.3858810736819,73,"Cabico, Milagros",Type I  Adult Residential Care Home,Milagros Cabico,94-418 Pilimai Street,Waipahu,Hawaii,Oahu,8086712656,832-C,2022/10/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-157.864619242941,21.3322198247005,74,"Cabico-Perez, Loraine",Type I  Adult Residential Care Home,Loraine Cabico-Perez,1318 Alani Street,Honolulu,Hawaii,Oahu,8088416584,1079-C,2022/10/31 00:00:00+00,1,0,5,Ambulatory,No,Special
-158.003472673352,21.3914616094203,75,Cabingabang Care Home,Type I Expanded Adult Residential Care Home,Delia Cabingabang,94-1121 Waipahu Street,Waipahu,Hawaii,Oahu,8086717379,543-C,2022/10/31 00:00:00+00,1,0,5,Ambulatory,No,Special
-158.005463317925,21.3963841270758,76,"Cacal, Evelyn",Type I Expanded Adult Residential Care Home,Evelyn Cacal,94-1161 Hinaea Street,Waipahu,Hawaii,Oahu,8086765756,678-C,2022/09/30 00:00:00+00,0,0,5,Ambulatory,No,Special
-157.946695293113,21.3920918582847,77,Cachola Adult Residential Care Home,Type I Expanded Adult Residential Care Home,Madelaine Cachola,98-314 Ponokaulike Street,Aiea,Hawaii,Oahu,8087840242,1576-C,2022/05/31 00:00:00+00,4,4,5,Ambulatory,Yes,Special
-157.864718062774,21.3283523304218,78,Callo Care Home,Type I Expanded Adult Residential Care Home,Teresita Callo,1027 A Lowell Place,Honolulu,Hawaii,Oahu,8088431240,1289-C,2022/04/30 00:00:00+00,2,0,5,Ambulatory,Yes,Special
-157.933061747989,21.3778267223449,79,Calucag ARCH-I,Type I Expanded Adult Residential Care Home,"Calucag Care Home, Inc.",99-042 Ieie Place,Aiea,Hawaii,Oahu,8084841335,1280-C,2022/10/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-157.793505950297,21.2773772403785,80,Calucag III,Type I Expanded Adult Residential Care Home,"Kaimuki Care Home, L.L.C.",1050 18th Avenue,Honolulu,Hawaii,Oahu,8082278985,1423-C,2022/03/31 00:00:00+00,3,2,5,Ambulatory,Yes,Special
-155.91220103157,19.496678810408,81,Captain Cook Care Home,Type I  Adult Residential Care Home,Daniel Higuchi,81-1993 Haku Nui Road,Captain Cook,Hawaii,Big Island,8082380494,1514-C,2022/06/30 00:00:00+00,1,2,5,Ambulatory,Yes,Special
-156.476251998797,20.8792012316913,82,Care Homes By Hale Makua,Type II Adult Residential Care Home,Trisha Akahi,472 Kaulana Street,Kahului,Hawaii,Maui,8082431700,1509-C,2022/01/31 00:00:00+00,10,10,22,Ambulatory,Yes,Special
-157.82030099968,21.3071490003786,83,"Caring Manoa, L.L.C.",Type II Expanded Adult Residential Care Home,Todd Pang,2383 Beckwith Street,Honolulu,Hawaii,Oahu,8087798871,1488-C,2022/07/31 00:00:00+00,0,0,8,Ambulatory,Yes,Special
-157.9573439623,21.3867640168437,84,Caring Touch ARCH/Expanded ARCH,Type I Expanded Adult Residential Care Home,Leslie Ann Ballesteros,98-131 Kaluamoi Street,Pearl City,Hawaii,Oahu,,1631-C,2022/02/28 00:00:00+00,,,,,No,
-158.005987861958,21.3913853837677,85,Carmelita's,Type I Expanded Adult Residential Care Home,Carmelita Casil,94-1020 Hapapa Street,Waipahu,Hawaii,Oahu,8086710756,615-C,2022/02/28 00:00:00+00,1,0,5,Ambulatory,No,Special
-157.993455050408,21.4035233459211,86,"Castanaga, Imelda",Type I Expanded Adult Residential Care Home,Imelda Castanaga,94-972 Lumimoe Street,Waipahu,Hawaii,Oahu,8086712551,549-C,2021/11/30 00:00:00+00,1,0,5,Ambulatory,Yes,Special
-159.36853036962,21.9846298568534,87,Castro's,Type I  Adult Residential Care Home,Julie Castro,3354 Eono Street,Lihue,Hawaii,Kauai,8082454890,1298-C,2022/06/30 00:00:00+00,2,2,5,Fully Ambulatory,No,Regular
-157.795684213158,21.4062137070887,88,"CEJ Charity ARCH-EC, L.L.C.",Type I Expanded Adult Residential Care Home,Carolyn Lazo,45-415 Kulauli Street,Kaneohe,Hawaii,Oahu,8082002109,1260-C,2022/10/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-157.997948944962,21.3884244597794,89,Charity Adult Residential Care Home,Type I Expanded Adult Residential Care Home,Nette De Castro,94-232 Moena Place,Waipahu,Hawaii,Oahu,8087442697,1496-C,2022/04/30 00:00:00+00,4,4,5,Ambulatory,Yes,Special
-157.918675678104,21.3653061000261,90,Charity Adult Residential Care Home/E-ARCH II,Type I Expanded Adult Residential Care Home,Nette de Castro,1563 Molina Street,Honolulu,Hawaii,Oahu,8084921945,1595-C,2022/10/31 00:00:00+00,1,1,5,Ambulatory,Yes,Special
-157.919769855338,21.3664424889372,91,"Comfort Care Home, L.L.C.",Type I Expanded Adult Residential Care Home,Richard Miller,1543 Haloa Drive,Honolulu,Hawaii,Oahu,8084221947,1503-C,2022/10/31 00:00:00+00,3,3,5,Ambulatory,Yes,Special
-158.010882029677,21.3942538929702,92,Connie's,Type I Expanded Adult Residential Care Home,Cion Battulayan,94-1040 Kuhaulua Street,Waipahu,Hawaii,Oahu,8086800001,676-C,2022/01/31 00:00:00+00,1,0,5,Ambulatory,No,Special
-157.867018637195,21.3413784306981,93,Cora's,Type I  Adult Residential Care Home,Corazon Ingel,1711 Ema Place,Honolulu,Hawaii,Oahu,8088418596,363-C,2022/04/30 00:00:00+00,1,1,5,Ambulatory,No,Special
-155.091138609825,19.7419440303093,94,"Corpuz, Olivia",Type I  Adult Residential Care Home,Olivia Corpuz-Santos,664-D Wainaku Avenue,Hilo,Hawaii,Big Island,8089613938,958-C,2022/03/31 00:00:00+00,0,0,2,Fully Ambulatory,No,Special
-157.919190703596,21.3660453129504,95,CP Gallegos,Type I Expanded Adult Residential Care Home,Catalina Gallegos,1550 Epukane Street,Honolulu,Hawaii,Oahu,8084236262,1416-C,2021/12/31 00:00:00+00,2,1,5,Ambulatory,Yes,Special
-155.082987375471,19.6810726698513,96,"Cua, Lilia",Type I  Adult Residential Care Home,Lilia Cua,464 Heahea Street,Hilo,Hawaii,Big Island,8089595432,597-C,2021/11/30 00:00:00+00,0,1,5,Ambulatory,No,Special
-158.011557416567,21.3827946272897,97,Cuaresma ARCH,Type I  Adult Residential Care Home,Julia Cuaresma,94-548 Farrington Highway,Waipahu,Hawaii,Oahu,8086767232,1061-C,2021/12/31 00:00:00+00,0,1,5,Ambulatory,No,Special
-158.113668127619,21.3435451879023,98,"Daguimol, Shirley",Type I  Adult Residential Care Home,Daguimol Shirley,92-603 Malahuna Loop,Makakilo,Hawaii,Oahu,8086825244,688-C,2022/02/28 00:00:00+00,0,0,5,Ambulatory,No,Special
-157.861146327786,21.3447216843879,99,"Daligcon, Norma",Type I Expanded Adult Residential Care Home,Norma Daligcon,1586 Lehua Street,Honolulu,Hawaii,Oahu,8088481542,1062-C,2022/08/31 00:00:00+00,2,2,5,Ambulatory,Yes,Special
-158.176234687303,21.4189016001843,100,Daquip Care Home,Type I  Adult Residential Care Home,Eunice Daquip,87-132 Palani Street,Waianae,Hawaii,Oahu,8086964462,1151-C,2021/12/31 00:00:00+00,0,0,5,Ambulatory,No,Special
-158.002150431546,21.3827010053904,101,"De Vera, Loretta",Type I  Adult Residential Care Home,Loretta De Vera,94-865 Mokuahi Street,Waipahu,Hawaii,Oahu,8086715191,783-C,2022/09/30 00:00:00+00,1,0,5,Ambulatory,No,Special
-157.914556080918,21.3666553127389,102,Debora's,Type I Expanded Adult Residential Care Home,Castro Debora,1773 Piikea Street,Honolulu,Hawaii,Oahu,8084225684,1323-C,2022/11/30 00:00:00+00,2,3,5,Ambulatory,Yes,Special
-157.993164325876,21.3913103059403,103,"Deguzman, Lydia",Type I  Adult Residential Care Home,Lydia Deguzman,94-293 Kahualena Street,Waipahu,Hawaii,Oahu,8086760681,499-C,2022/03/31 00:00:00+00,0,1,5,Ambulatory,No,Special
-157.890187548946,21.5896832037667,104,Dignity Senior Living At Oceanside Hawaii,Type II Expanded Adult Residential Care Home,Albert Chen,53-594 Kamehameha Highway,Hauula,Hawaii,Oahu,8082931100,1528-C,2022/03/31 00:00:00+00,5,5,26,Ambulatory,Yes,Special
-157.95222348803,21.4009902068061,105,"Domingo, Maria-Theresa C.",Type I Expanded Adult Residential Care Home,Maria-Theresa Domingo,98-1651 Hoomaike Street,Pearl City,Hawaii,Oahu,8084553365,1321-C,2021/11/30 00:00:00+00,0,1,5,Ambulatory,Yes,Special
-155.981086139582,19.6746792251243,106,Domingo's Care Home,Type I Expanded Adult Residential Care Home,Myrna Domingo,74-828 Ulua'oa Street,Kailua-Kona,Hawaii,Big Island,8083298203,1309-C,2022/08/31 00:00:00+00,2,2,5,Ambulatory,Yes,Special
-157.925396946915,21.3527323855518,107,"Downey, Norma",Type I  Adult Residential Care Home,Norma Downey,4038 Salt Lake Boulevard,Honolulu,Hawaii,Oahu,8084237854,862-C,2021/12/31 00:00:00+00,1,0,4,Fully Ambulatory,No,Special
-155.083328676625,19.6823952097693,108,"Duldulao, Carina",Type I  Adult Residential Care Home,Carina Duldulao,417 Ehehene Place,Hilo,Hawaii,Big Island,8089599996,674-C,2021/12/31 00:00:00+00,0,0,4,Ambulatory,No,Special
