"GEO_ID","NAME","B27010_001E","B27010_001M","B27010_002E","B27010_002M","B27010_003E","B27010_003M","B27010_004E","B27010_004M","B27010_005E","B27010_005M","B27010_006E","B27010_006M","B27010_007E","B27010_007M","B27010_008E","B27010_008M","B27010_009E","B27010_009M","B27010_010E","B27010_010M","B27010_011E","B27010_011M","B27010_012E","B27010_012M","B27010_013E","B27010_013M","B27010_014E","B27010_014M","B27010_015E","B27010_015M","B27010_016E","B27010_016M","B27010_017E","B27010_017M","B27010_018E","B27010_018M","B27010_019E","B27010_019M","B27010_020E","B27010_020M","B27010_021E","B27010_021M","B27010_022E","B27010_022M","B27010_023E","B27010_023M","B27010_024E","B27010_024M","B27010_025E","B27010_025M","B27010_026E","B27010_026M","B27010_027E","B27010_027M","B27010_028E","B27010_028M","B27010_029E","B27010_029M","B27010_030E","B27010_030M","B27010_031E","B27010_031M","B27010_032E","B27010_032M","B27010_033E","B27010_033M","B27010_034E","B27010_034M","B27010_035E","B27010_035M","B27010_036E","B27010_036M","B27010_037E","B27010_037M","B27010_038E","B27010_038M","B27010_039E","B27010_039M","B27010_040E","B27010_040M","B27010_041E","B27010_041M","B27010_042E","B27010_042M","B27010_043E","B27010_043M","B27010_044E","B27010_044M","B27010_045E","B27010_045M","B27010_046E","B27010_046M","B27010_047E","B27010_047M","B27010_048E","B27010_048M","B27010_049E","B27010_049M","B27010_050E","B27010_050M","B27010_051E","B27010_051M","B27010_052E","B27010_052M","B27010_053E","B27010_053M","B27010_054E","B27010_054M","B27010_055E","B27010_055M","B27010_056E","B27010_056M","B27010_057E","B27010_057M","B27010_058E","B27010_058M","B27010_059E","B27010_059M","B27010_060E","B27010_060M","B27010_061E","B27010_061M","B27010_062E","B27010_062M","B27010_063E","B27010_063M","B27010_064E","B27010_064M","B27010_065E","B27010_065M","B27010_066E","B27010_066M",
"1500000US150030001101","Block Group 1, Census Tract 1.10, Honolulu County, Hawaii","1095","227","354","102","297","101","286","102","0","11","0","11","11","13","0","11","0","11","57","64","0","11","0","11","0","11","29","46","0","11","28","43","0","11","105","107","64","67","36","30","0","11","0","11","28","40","0","11","0","11","41","44","0","11","0","11","0","11","0","11","0","11","41","44","0","11","410","89","365","90","324","98","34","34","0","11","7","12","0","11","0","11","45","47","6","10","0","11","0","11","0","11","26","41","0","11","13","20","0","11","226","74","48","36","13","16","0","11","35","33","0","11","0","11","178","65","0","11","87","42","8","12","0","11","0","11","0","11","83","57","0","11",
"1500000US150030001102","Block Group 2, Census Tract 1.10, Honolulu County, Hawaii","1145","174","212","84","184","79","138","67","46","51","0","11","0","11","0","11","0","11","28","32","28","32","0","11","0","11","0","11","0","11","0","11","0","11","87","47","59","42","48","38","0","11","0","11","11","17","0","11","0","11","28","29","12","18","0","11","0","11","0","11","0","11","16","24","0","11","496","103","420","101","341","90","60","39","0","11","19","21","0","11","0","11","76","50","37","34","0","11","0","11","7","11","9","14","0","11","23","35","0","11","350","93","86","69","8","13","9","14","69","66","0","11","0","11","264","70","0","11","105","61","37","28","0","11","0","11","0","11","122","57","0","11",
"1500000US150030001103","Block Group 3, Census Tract 1.10, Honolulu County, Hawaii","1802","295","461","149","423","144","309","124","43","50","0","11","66","93","5","9","0","11","38","35","9","14","0","11","0","11","0","11","0","11","29","32","0","11","332","141","287","135","226","119","49","50","0","11","12","19","0","11","0","11","45","40","31","34","0","11","0","11","0","11","0","11","14","20","0","11","644","121","596","116","466","107","40","45","7","13","60","54","6","9","17","24","33","31","33","31","0","11","0","11","0","11","0","11","0","11","0","11","15","21","365","98","32","42","32","42","0","11","0","11","0","11","0","11","333","110","0","11","176","62","34","34","0","11","0","11","0","11","123","94","0","11",
"1500000US150030001111","Block Group 1, Census Tract 1.11, Honolulu County, Hawaii","1926","292","431","133","431","133","300","103","51","53","0","11","0","11","80","96","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","332","158","294","160","253","156","41","32","0","11","0","11","0","11","0","11","38","33","28","31","0","11","0","11","0","11","0","11","10","16","0","11","807","131","738","126","672","121","35","40","0","11","0","11","31","32","0","11","60","33","35","30","11","16","0","11","0","11","6","10","0","11","8","12","9","13","356","110","84","57","0","11","9","15","75","57","0","11","0","11","272","103","0","11","86","55","38","42","0","11","0","11","0","11","148","80","0","11",
"1500000US150030001112","Block Group 2, Census Tract 1.11, Honolulu County, Hawaii","2056","321","441","142","413","141","346","131","45","52","0","11","22","39","0","11","0","11","28","34","0","11","0","11","0","11","15","24","0","11","13","22","0","11","244","90","225","87","188","83","19","23","0","11","18","22","0","11","0","11","8","12","0","11","0","11","0","11","8","12","0","11","0","11","11","17","780","144","744","144","684","131","43","55","0","11","9","15","8","13","0","11","18","29","18","29","0","11","0","11","0","11","0","11","0","11","0","11","18","19","591","133","107","67","11","18","0","11","79","61","0","11","17","18","479","145","0","11","219","73","121","89","0","11","0","11","0","11","139","89","5","9",
"1500000US150030001113","Block Group 3, Census Tract 1.11, Honolulu County, Hawaii","397","113","74","51","74","51","57","54","17","18","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","86","45","80","42","80","42","0","11","0","11","0","11","0","11","0","11","6","13","6","13","0","11","0","11","0","11","0","11","0","11","0","11","142","63","138","63","107","65","31","24","0","11","0","11","0","11","0","11","4","6","0","11","0","11","0","11","4","6","0","11","0","11","0","11","0","11","95","46","26","29","0","11","0","11","26","29","0","11","0","11","69","38","8","14","14","18","21","32","0","11","0","11","11","17","15","20","0","11",
"1500000US150030001121","Block Group 1, Census Tract 1.12, Honolulu County, Hawaii","1029","297","144","99","144","99","144","99","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","105","78","105","78","93","77","0","11","0","11","0","11","0","11","12","20","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","422","132","414","132","388","143","15","24","0","11","11","19","0","11","0","11","8","14","8","14","0","11","0","11","0","11","0","11","0","11","0","11","0","11","358","123","193","122","0","11","0","11","193","122","0","11","0","11","165","83","0","11","17","27","59","48","0","11","0","11","0","11","89","60","0","11",
"1500000US150030001122","Block Group 2, Census Tract 1.12, Honolulu County, Hawaii","2591","365","576","175","576","175","372","145","93","60","0","11","92","105","19","30","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","418","165","306","158","196","118","17","28","0","11","25","38","68","106","0","11","112","74","38","45","0","11","0","11","26","41","0","11","48","57","0","11","999","241","930","239","650","213","67","67","18","29","105","88","90","89","0","11","54","51","16","26","0","11","0","11","0","11","23","36","0","11","15","23","15","24","598","196","88","68","0","11","0","11","88","68","0","11","0","11","510","182","0","11","288","163","98","83","0","11","0","11","0","11","124","77","0","11",
"1500000US150030001123","Block Group 3, Census Tract 1.12, Honolulu County, Hawaii","1830","405","361","184","325","173","314","172","0","11","0","11","11","18","0","11","0","11","36","58","36","58","0","11","0","11","0","11","0","11","0","11","0","11","161","98","161","98","131","88","18","29","0","11","12","20","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","801","212","664","183","579","170","43","39","14","26","28","30","0","11","0","11","116","127","83","96","20","34","0","11","13","21","0","11","0","11","0","11","21","34","507","131","97","74","14","21","0","11","83","71","0","11","0","11","410","116","0","11","253","109","89","67","12","19","0","11","0","11","56","38","0","11",
"1500000US150030001141","Block Group 1, Census Tract 1.14, Honolulu County, Hawaii","1559","212","407","113","403","113","270","62","49","51","0","11","8","12","76","102","0","11","4","7","0","11","0","11","0","11","0","11","4","7","0","11","0","11","131","67","118","66","92","57","26","29","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","13","15","616","120","605","121","421","103","133","52","0","11","14","13","37","50","0","11","11","11","11","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","405","71","153","41","63","36","5","8","85","39","0","11","0","11","252","70","0","11","92","34","74","53","0","11","0","11","0","11","86","58","0","11",
"1500000US150030002001","Block Group 1, Census Tract 2, Honolulu County, Hawaii","662","205","108","86","108","86","78","63","30","43","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","56","43","56","43","32","26","0","11","0","11","24","34","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","320","120","301","117","242","93","59","86","0","11","0","11","0","11","0","11","12","19","12","19","0","11","0","11","0","11","0","11","0","11","0","11","7","12","178","54","11","17","0","11","0","11","11","17","0","11","0","11","167","52","0","11","87","48","20","22","0","11","0","11","0","11","60","47","0","11",
