OBJECTID_1,OBJECTID,permit_no,PROJTITLE,START_DATE,FINISH_DAT,STREET_NAM,PAVED_DATE,SHAPE_Length
23,1266,09-0771-12083,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Pololia St,2014/02/20 00:00:00+00,0.000579961816294038
24,1267,14-0553-13038,"Rehabilitation of Localized Streets, Phase 12A (Kalihi, Kamehameha Heights, Alewa)",2015/04/06 00:00:00+00,2015/11/16 00:00:00+00,Hemolele Pl,2015/06/22 00:00:00+00,0.00090627229110684
25,1268,10-0009-12609,"Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ)  No. 3 (Slurry Seal/ Paving) Mililani Mauka Streets",2010/06/24 00:00:00+00,2011/06/23 00:00:00+00,Makaikai St,2013/06/19 00:00:00+00,0.000502742079137426
26,1269,09-0624-6199,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Auhaele Pl,2013/09/04 00:00:00+00,0.000396736041634849
27,1270,10-0401-9640,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Lauawa St,2013/11/21 00:00:00+00,0.00081514104223275
28,1271,13-0195-9977,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Nawiliwili St,2016/01/08 00:00:00+00,0.00132616326502868
29,1272,11-0169-10703,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Hanau St,2013/09/26 00:00:00+00,0.000590799157669035
30,1273,11-0169-10579,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Glen Ave,2013/07/23 00:00:00+00,0.00230026398364143
31,1274,08-0588-3735,"Rehabilitation of Streets, Unit 6 (Liliha Street and Kamehameha IV Road)",2015/06/15 00:00:00+00,2016/09/19 00:00:00+00,Kamehameha IV Rd,2015/12/01 00:00:00+00,0.000880644389524221
32,1275,13-0193-10126,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Kalaau Pl,2014/08/25 00:00:00+00,0.00363989842188576
33,1276,13-0193-10157,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Kahena St,2015/02/23 00:00:00+00,0.00536982238208563
34,1277,10-0034-6067,"Rehabilitation of Beretania Street, Unit 64-R (Beretania St from University Avenue to Alapai St.)",2014/06/30 00:00:00+00,2017/07/05 00:00:00+00,Beretania St,2016/04/09 00:00:00+00,0.00397514144855488
35,1278,14-0331-12688,"Rehabilitation of Localized Streets, Phase 13F (Kaneohe Area: Keapuka)",2016/03/07 00:00:00+00,2018/01/13 00:00:00+00,Alokahi Pl,2018/02/16 00:00:00+00,0.00110882045245469
36,1279,13-0562-13718,"Rehabilitation of Localized Streets, Phase 14A (Palolo Valley)",2015/08/03 00:00:00+00,2016/09/09 00:00:00+00,Narcissus Pl,2015/11/12 00:00:00+00,0.00198072635275569
37,1280,07-0169-3584,"Rehabilitation of Streets, Unit 47 (Waipio Gentry Area)",2014/02/03 00:00:00+00,2014/11/29 00:00:00+00,Moaniani St,2014/09/19 00:00:00+00,0.000458926657240744
38,1281,09-0771-12033,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Nale St,2013/02/01 00:00:00+00,0.000559993069511708
39,1282,04-1094-3657,"Rehabilitation of Streets, Unit 25 (Lunalilo Home Road, Wailua Street, Hawaii Kai Dr, Niumalu Loop, Kamilo St, Naakea St, Kukii St, Paoo St, Opai St, Kokomo Pl., Halaula Pl, Naakea Pl., Olohena St, Hoopii Pl.)",2013/03/04 00:00:00+00,2014/03/10 00:00:00+00,Niumalu Lp,2013/06/07 00:00:00+00,0.0020111617311977
40,1283,10-0402-11097,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Puniu St,2013/08/09 00:00:00+00,0.000900807115530154
41,1284,10-0402-11041,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Kailuana Pl,2013/10/24 00:00:00+00,0.000762513917441799
42,1285,10-0401-9589,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Ihuku Pl,2013/10/09 00:00:00+00,0.000653496740692693
43,1286,08-0586-3684,"Rehabilitation of Streets, Unit 56 (Kailua Area)",2013/02/11 00:00:00+00,2018/12/18 00:00:00+00,Kina St,2013/08/31 00:00:00+00,0.000550885245992375
44,1287,10-0401-9614,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Kaulia Pl,2013/10/15 00:00:00+00,0.00149465251791699
45,1288,09-0624-6313,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Nahokupa St,2013/12/13 00:00:00+00,0.000740847606751104
46,1289,09-0624-6305,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Makapipipi St,2014/01/10 00:00:00+00,0.00117548344018061
47,1290,11-0011-10046,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Hawane Pl,2014/05/01 00:00:00+00,0.000983400833083457
48,1291,09-0598-6375,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Kahoaloha Ln,2013/01/28 00:00:00+00,0.00084666278220319
49,1292,10-0401-9661,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Makaunulau Pl,2014/01/13 00:00:00+00,0.00134896672918132
50,1293,13-0195-9993,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Waiopua St,2015/08/11 00:00:00+00,0.000654988009745424
51,1294,15-0167-10984,Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ No. 4) - Work Order #4,2017/08/11 00:00:00+00,2018/08/05 00:00:00+00,Lukanela St,2017/08/14 00:00:00+00,0.00110998568218827
52,1295,10-0352-8249,"Rehabilitation of Streets, Unit 66 (Oahu Ave, Kapahulu Ave, Atkinson Dr)",2014/06/09 00:00:00+00,2016/06/21 00:00:00+00,Kapahulu Ave,2016/02/23 00:00:00+00,0.000650128952250842
53,1296,09-0624-6324,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Pauwala Pl,2014/01/02 00:00:00+00,0.00094736499957571
54,1297,08-0453-3613,"Rehabilitation of Streets, Unit 55 (Pearl City Area)",2013/03/18 00:00:00+00,2013/10/13 00:00:00+00,Hoohiki St,2013/06/25 00:00:00+00,0.000699897487932419
55,1298,09-0624-6274,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Kehepue Pl,2013/09/12 00:00:00+00,0.000305419832979359
56,1299,10-0401-9685,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Punono Pl,2013/12/19 00:00:00+00,0.00129010284931754
57,1300,09-0624-6196,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Apohele Pl,2013/08/14 00:00:00+00,0.000822078313998063
58,1301,09-0624-6202,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Aumea Pl,2013/08/30 00:00:00+00,0.000361610314309541
59,1302,11-0169-10707,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Ihiihi Ave,2013/05/23 00:00:00+00,0.000915941835477009
60,1303,13-0562-13695,"Rehabilitation of Localized Streets, Phase 14A (Palolo Valley)",2015/08/03 00:00:00+00,2016/09/09 00:00:00+00,Kauhana St,2016/02/11 00:00:00+00,0.00380919439829365
61,1304,13-0342-11306,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Hoolea Pl,2014/05/06 00:00:00+00,0.000414962423570933
62,1305,10-0465-8119,"Rehabilitation of Localized Streets, Phase 6B (McCully/ Makiki/upper Makiki)",2012/03/27 00:00:00+00,2012/12/31 00:00:00+00,Makiki St,2013/03/13 00:00:00+00,0.00142292793032566
63,1306,04-1094-3654,"Rehabilitation of Streets, Unit 25 (Lunalilo Home Road, Wailua Street, Hawaii Kai Dr, Niumalu Loop, Kamilo St, Naakea St, Kukii St, Paoo St, Opai St, Kokomo Pl., Halaula Pl, Naakea Pl., Olohena St, Hoopii Pl.)",2013/03/04 00:00:00+00,2014/03/10 00:00:00+00,Lunalilo Home Rd,2014/01/17 00:00:00+00,0.000590077386504942
64,1307,11-0011-10050,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Ihiloa Pl,2014/05/20 00:00:00+00,0.000610718431745067
65,1308,14-0556-12640,"Rehabilitation of Localized Streets, Phase 13G (Kaneohe Area: Kapunahala, Haiku Village, Heeia and Lilipuna)",2016/07/05 00:00:00+00,2019/03/13 00:00:00+00,Kuneki Pl,2017/06/28 00:00:00+00,0.00200529990136808
66,1309,08-0586-8109,"Rehabilitation of Streets, Unit 56 (Kailua Area)",2013/02/11 00:00:00+00,2018/12/18 00:00:00+00,Kuuna St,2013/08/31 00:00:00+00,0.00127675995897785
67,1310,13-0342-11293,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Alihi Pl,2014/03/12 00:00:00+00,0.0012713393778158
68,1311,11-0011-10021,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Lihipali Pl,2014/08/06 00:00:00+00,0.000488873684796486
69,1312,13-0195-9963,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Kekupua Pl,2015/08/13 00:00:00+00,0.000524449044311046
70,1313,14-0556-12642,"Rehabilitation of Localized Streets, Phase 13G (Kaneohe Area: Kapunahala, Haiku Village, Heeia and Lilipuna)",2016/07/05 00:00:00+00,2019/03/13 00:00:00+00,Puulau Pl,2017/06/28 00:00:00+00,0.000475176005306598
71,1314,13-0193-10167,"Rehabilitation of Localized Streets, Phase 11B Kuliouou, Hahaione Valley, Mariners Ridge",2014/05/05 00:00:00+00,2015/07/25 00:00:00+00,Kawaihae St,2015/01/03 00:00:00+00,0.00111300884076277
72,1315,09-0598-6384,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Kuilei St,2013/01/28 00:00:00+00,0.000555221601565666
73,1316,06-0577-12865,"Rehabilitation of Localized Streets, Phase 13B (Kaneohe Area: Kokokahi/Mahinui, Pikoiloa, Puohala Village and Waikalua)",2016/08/22 00:00:00+00,2017/06/02 00:00:00+00,Mahalani Pl,,0.000439559972189105
74,1317,13-0959-12930,"Rehabilitation of Localized Streets, Phase 13C (North Shore)",2015/04/13 00:00:00+00,2016/04/07 00:00:00+00,Huehu St,2015/09/25 00:00:00+00,0.000680240064277845
75,1318,08-0588-3717,"Rehabilitation of Streets, Unit 6 (Liliha Street and Kamehameha IV Road)",2015/06/15 00:00:00+00,2016/09/19 00:00:00+00,Liliha St,2016/03/29 00:00:00+00,0.00107935161694311
76,1319,09-0771-11930,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Hailipo St,2013/01/10 00:00:00+00,0.00074416662497959
77,1320,10-0401-9707,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Waioni Pl,2013/09/06 00:00:00+00,0.000341431470561791
78,1321,08-0586-3675,"Rehabilitation of Streets, Unit 56 (Kailua Area)",2013/02/11 00:00:00+00,2018/12/18 00:00:00+00,Hele St,2013/08/31 00:00:00+00,0.000784153130854277
79,1322,10-0401-9677,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Paikauhale St,2013/12/17 00:00:00+00,0.000701092640708509
80,1323,13-0195-9957,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Kapaia St,2015/06/12 00:00:00+00,0.00216455415513215
81,1324,13-0959-12931,"Rehabilitation of Localized Streets, Phase 13C (North Shore)",2015/04/13 00:00:00+00,2016/04/07 00:00:00+00,Kahana St,2015/08/20 00:00:00+00,0.000543710146551027
82,1325,11-0169-10626,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Laniloa Pl,2013/07/08 00:00:00+00,0.000915989867359895
83,1326,13-0194-10287,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Aipo Pl,2015/01/15 00:00:00+00,0.001657875328824
84,1327,13-0194-10286,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Ahukini St,2015/02/11 00:00:00+00,0.00213673483836931
85,1328,10-0009-12538,"Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ)  No. 3 (Slurry Seal/ Paving) Mililani Mauka Streets",2010/06/24 00:00:00+00,2011/06/23 00:00:00+00,Malielie St,2013/03/11 00:00:00+00,0.000496750819883296
86,1329,09-0598-6392,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Varsity Cir,2013/01/28 00:00:00+00,0.00171650057303556
87,1330,09-0624-6334,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Uliuli Pl,2013/08/19 00:00:00+00,0.000366572772170038
88,1331,10-0034-6067,"Rehabilitation of Beretania Street, Unit 64-R (Beretania St from University Avenue to Alapai St.)",2014/06/30 00:00:00+00,2017/07/05 00:00:00+00,Beretania St,2016/04/09 00:00:00+00,0.000301580595270214
89,1333,09-0624-6183,"Rehabilitation of Localized Streets, Phase 8A (Mililani)",2013/04/01 00:00:00+00,2014/08/10 00:00:00+00,Aaahi St,2013/09/27 00:00:00+00,0.000397015056573393
90,1334,10-0034-6067,"Rehabilitation of Beretania Street, Unit 64-R (Beretania St from University Avenue to Alapai St.)",2014/06/30 00:00:00+00,2017/07/05 00:00:00+00,Beretania St,2016/04/09 00:00:00+00,0.000728145445096143
91,1335,11-0011-10083,"Rehabilitation of Localized Streets, Phase 11A Waialae Nui, Waialae Iki, Aina Haina",2014/01/06 00:00:00+00,2015/02/07 00:00:00+00,Ani St,2014/03/28 00:00:00+00,0.000483498932310209
92,1336,13-0561-13450,"Rehabilitation of Localized Streets, Phase 15C (Maili)",2016/04/12 00:00:00+00,2017/04/11 00:00:00+00,Gilipake St,2016/11/18 00:00:00+00,0.00212062364232783
93,1337,13-0561-13456,"Rehabilitation of Localized Streets, Phase 15C (Maili)",2016/04/12 00:00:00+00,2017/04/11 00:00:00+00,Hookele St,2016/11/18 00:00:00+00,0.00635279879341062
94,1338,10-0401-9677,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Paikauhale St,2013/12/17 00:00:00+00,0.00137807215409423
95,1339,13-0194-10278,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Kamehame Dr,2015/04/10 00:00:00+00,0.0031902321894241
96,1340,13-0342-11287,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Akumu St,2014/05/08 00:00:00+00,0.000875378305378563
97,1341,11-0169-10720,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Uakanikoo St,2013/05/09 00:00:00+00,0.000543588181734975
98,1342,10-0009-12548,"Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ)  No. 3 (Slurry Seal/ Paving) Mililani Mauka Streets",2010/06/24 00:00:00+00,2011/06/23 00:00:00+00,Puneki St,2013/07/03 00:00:00+00,0.000597486215289273
99,1343,13-0194-10296,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Kalanipuu St,2015/02/12 00:00:00+00,0.000709802391696509
100,1344,12-0019-9455,"Rehabilitation of Streets, Unit 74 (Ward Ave & Date St)",2016/05/16 00:00:00+00,2019/03/30 00:00:00+00,Ward Ave,2017/05/19 00:00:00+00,0.0172616234911522
101,1345,10-0009-12577,"Rehabilitation Of Streets Indefinite Delivery/Indefinite Quantity (IDIQ)  No. 3 (Slurry Seal/ Paving) Mililani Mauka Streets",2010/06/24 00:00:00+00,2011/06/23 00:00:00+00,Ahulili St,2013/06/28 00:00:00+00,0.000536672493206316
102,1346,08-0586-3674,"Rehabilitation of Streets, Unit 56 (Kailua Area)",2013/02/11 00:00:00+00,2018/12/18 00:00:00+00,Auwaiku St,2013/08/31 00:00:00+00,0.000883178088082109
103,1348,09-0598-6366,"Rehabilitation of Localized Streets, Phase 6A (Moiliili/ McCully/ Makiki)",2012/03/05 00:00:00+00,2013/08/11 00:00:00+00,Waiola St,2013/01/28 00:00:00+00,0.00122667424042633
104,1349,06-0577-12787,"Rehabilitation of Localized Streets, Phase 13B (Kaneohe Area: Kokokahi/Mahinui, Pikoiloa, Puohala Village and Waikalua)",2016/08/22 00:00:00+00,2017/06/02 00:00:00+00,Wailele Rd,2017/07/25 00:00:00+00,0.000689766505706823
105,1350,10-0402-11026,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Hualani St,2013/07/09 00:00:00+00,0.00182551717721998
106,1351,13-0342-11268,"Rehabilitation of Localized Streets, Phase 10B (Maunawili, Olomana, Pohakupu, Enchanted Lakes Areas)",2013/07/15 00:00:00+00,2015/02/06 00:00:00+00,Akekeke Pl,2014/03/28 00:00:00+00,0.0003781098196506
107,1352,09-0771-12057,"Rehabilitation of Localized Streets, Phase 7B (Kalihi Valley, Ewa Beach, West Loch, and Ewa Villages Areas)",2012/07/02 00:00:00+00,2014/04/15 00:00:00+00,Sisal St,2013/01/30 00:00:00+00,0.000560053645940338
108,1353,10-0034-6067,"Rehabilitation of Beretania Street, Unit 64-R (Beretania St from University Avenue to Alapai St.)",2014/06/30 00:00:00+00,2017/07/05 00:00:00+00,Beretania St,2016/04/09 00:00:00+00,0.000694288429166773
109,1354,11-0169-10691,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Valley Ave,2013/07/26 00:00:00+00,0.00242105073799401
110,1355,11-0169-10579,"Rehabilitation of Localized Streets, Phase 8B (Whitmore, Wahiawa)",2013/04/15 00:00:00+00,2014/03/15 00:00:00+00,Glen Ave,2013/07/23 00:00:00+00,0.00064221556232786
111,1356,10-0402-10982,"Rehabilitation of Localized Streets, Phase 10A (Kailua Town, Kalaheo Hillside, Waimanalo & Waimalo Beach Areas)",2013/05/20 00:00:00+00,2015/04/24 00:00:00+00,Kumuula St,2013/07/17 00:00:00+00,0.00192302870258169
112,1357,10-0401-9567,"Rehabilitation of Localized Streets, Phase 9 (East Mililani and Mililani Tech)",2013/05/06 00:00:00+00,2015/07/16 00:00:00+00,Eulu St,2013/10/01 00:00:00+00,0.000652353882069279
113,1358,13-0194-10260,"Rehabilitation of Localized Streets, Phase 11C (Kalama Valley, Kamehame Ridge, Hawaii Kai)",2014/12/01 00:00:00+00,2015/12/02 00:00:00+00,Ohina Pl,2017/05/15 00:00:00+00,0.000706932767469378
114,1359,13-0195-9961,"Rehabilitation of Localized Streets, Phase 11D (Portlock)",2015/03/09 00:00:00+00,2016/03/07 00:00:00+00,Kaumakani St,2015/09/21 00:00:00+00,0.000734965600901988
115,1360,14-0331-12705,"Rehabilitation of Localized Streets, Phase 13F (Kaneohe Area: Keapuka)",2016/03/07 00:00:00+00,2018/01/13 00:00:00+00,Kanaka St,2018/04/10 00:00:00+00,0.000447414667970312
116,1361,13-0959-12973,"Rehabilitation of Localized Streets, Phase 13C (North Shore)",2015/04/13 00:00:00+00,2016/04/07 00:00:00+00,Aukauka Pl,2015/06/25 00:00:00+00,0.00318569984482405
