X,Y,objectid,facname,street,city,zip,island,phone,lic_exp,license_num
-158.03133370959,21.3504373955448,26,Palma Nova,91-1276 Hoopio Street,Ewa Beach,96706,Oahu,8086818180,2022/03/31 00:00:00+00,81-D
-158.021231414141,21.3831550950569,27,Precious Developmental Disabilities Domiciliary Hom,94-274 Waipahu Street,Waipahu,96797,Oahu,8083124786,2022/07/31 00:00:00+00,100-D
-158.127277814699,21.5791080987448,28,Ramirez,67-237 Kanalu Street,Waialua,96791,Oahu,8086378925,2022/06/30 00:00:00+00,92-D
-157.869106296603,21.3294981161159,29,Responsive Caregivers of Hawaii/Kapalama,1330 Halona Street,Honolulu,96817,Oahu,8089796164,2021/12/31 00:00:00+00,58-D
-157.927531989808,21.3786288140533,30,Responsive Caregivers of Hawaii/Popolo Pl.,99-193 Popolo Place,Aiea,96701,Oahu,8084886598,2021/12/31 00:00:00+00,3-D
-157.914478629517,21.3777353712915,31,"Rose P. Lee DDD-Home, LLC",99-838 Hulumanu Street,Aiea,96701,Oahu,8084871065,2021/12/31 00:00:00+00,95-D
-158.003893730225,21.3213715425647,32,The ARC in Hawaii - Ewa A,91-824 A Hanakahi Street,Ewa Beach,96706,Oahu,8086890754,2022/06/30 00:00:00+00,72-D
-157.918596338649,21.3749664400802,33,The ARC in Hawaii - Halawa,99-545 Halawa Heights Road,Aiea,96701,Oahu,8084871705,2022/08/31 00:00:00+00,73-D
-157.682300612865,21.2947646346901,34,The ARC in Hawaii - Kamehame Home,1019 Kamehame Drive,Honolulu,96825,Oahu,8083960885,2022/03/31 00:00:00+00,32-D
-158.026465377554,21.4949146799403,35,The ARC in Hawaii - Wahiawa B,140 B Kuahiwi Avenue,Wahiawa,96786,Oahu,8086211431,2021/11/30 00:00:00+00,19-D
-157.852328325575,21.3146370067377,36,The ARC in Hawaii Housing Proj. No. 11/Lusitana A,1660-A Lusitana Street,Honolulu,96813,Oahu,8085386915,2022/02/28 00:00:00+00,27-D
-157.852328325575,21.3146370067377,37,The ARC in Hawaii Housing Proj. No. 11/Lusitana B,1660-B Lusitana Street,Honolulu,96813,Oahu,8085380602,2022/02/28 00:00:00+00,28-D
-157.995325461797,21.3846021651866,38,The ARC in Hawaii Housing Proj. No. 8/Waipahu A,94-060 A Poailani Circle,Waipahu,96797,Oahu,8086713751,2021/11/30 00:00:00+00,16-D
-157.995325461797,21.3846021651866,39,The ARC in Hawaii Housing Proj. No. 8/Waipahu B,94-060 B Poailani Circle,Waipahu,96797,Oahu,8086777100,2021/11/30 00:00:00+00,20-D
-157.852328325575,21.3146370067377,40,The ARC in Hawaii Project No. 10/Lusitana C,1660-C Lusitana Street,Honolulu,96813,Oahu,8085365987,2022/02/28 00:00:00+00,29-D
-157.852328325575,21.3146370067377,41,The ARC in Hawaii Project No. 10/Lusitana D,1660-D Lusitana Street,Honolulu,96813,Oahu,8085369275,2022/02/28 00:00:00+00,30-D
-155.904444501823,19.4896843862337,42,The ARC of Kona - Kona Krafts,82-1055 Kiloa Road,Captain Cook,96704,Big Island,8083233422,2022/06/30 00:00:00+00,35-D
-156.662653127491,20.9865037525846,43,The ARC of Maui - Hale Lahaina,5220 Kohi Street,Napili,96761,Maui,8086690026,2022/11/30 00:00:00+00,50-D
-158.019913404077,21.5035150269373,44,Valley,245 Valley Avenue,Wahiawa,96786,Oahu,8086215729,2022/02/28 00:00:00+00,51-D
-157.930289846042,21.3772381952706,45,Yadao,99-112 Puakala Street,Aiea,96701,Oahu,8084880377,2022/07/31 00:00:00+00,78-D
-158.005551876936,21.3857123568171,46,Zennia's,94-265 Puamano Place,Waipahu,96797,Oahu,8086775837,2022/09/30 00:00:00+00,88-D
