X,Y,objectid,sch_code,sch_name,address,city,zip,phone,fax,principal,grade_from,grade_to,sch_type,website,complex,complex_area,district,island,charter,editdate
-157.871741102142,21.3434139585407,19,105,Dole Middle,1803 Kamehameha IV Road,Honolulu,96819,808.832.3340,808.832.3349,Mavis Sachiko Tasaka,6,8,Middle,http://dolemiddleschool.weebly.com/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-159.583867168575,21.9093388946567,20,451,Eleele Elementary,4750 Uliuli Road,Eleele,96705,808.335.2111,808.335.8415,Paul John Zina,K,5,Elementary,http://www.eleeleschool.k12.hi.us/,Waimea,Kapaa-Kauai-Waimea,Kauai,Kauai,0,2023/02/02 00:00:00+00
-157.731516895947,21.3840409753027,21,302,Enchanted Lake Elementary,770 Keolu Drive,Kailua,96734,808.266.7800,808.266.7804,Pua'ala McElhaney,K,6,Elementary,http://elake.k12.hi.us,Kailua,Kailua-Kalaheo,Windward,Oahu,0,2023/02/02 00:00:00+00
-158.014369543674,21.3150238451534,22,254,Ewa Beach Elementary,91-740 Papipi Road,Ewa Beach,96706,808.689.1271,808.689.1275,Sherry Lee Kobayashi,K,6,Elementary,http://www.ewabeachelementary.org/,Campbell,Campbell-Kapolei,Leeward,Oahu,0,2023/02/02 00:00:00+00
-158.033363945246,21.3450662031888,23,253,Ewa Elementary,91-1280 Renton Road,Ewa Beach,96706,808.681.8202,808.681.8206,Stanley  Jr Tamashiro,K,6,Elementary,http://ewael.k12.hi.us/Ewa_Elementary/Welcome.html,Campbell,Campbell-Kapolei,Leeward,Oahu,0,2023/02/02 00:00:00+00
-158.02579085028,21.3226673818357,24,296,Ewa Makai Middle,91-6291 Kapolei Parkway,Kapolei,96706,808.687.9500,808.685.2052,Kim M Sanders,6,8,Middle,http://www.ewamakai.org/,Campbell,Campbell-Kapolei,Leeward,Oahu,0,2023/02/02 00:00:00+00
-157.873586142864,21.3300371260945,25,106,Farrington High,1564 North King Street,Honolulu,96817,808.832.3600,808.832.3587,Alfredo B Carganilla,9,12,High,http://farringtonhighschool.org,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.882131834052,21.3390723444136,26,107,Fern Elementary,1121 Middle Street,Honolulu,96819,808.832.3040,808.832.3043,Fred T Yoshinaga,K,5,Elementary,http://fernschool.com/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-155.092360964829,19.7445603004162,27,352,Haaheo Elementary,121 Haaheo Road,Hilo,96720,808.974.4111,808.974.4112,Jennifer Naomi Sueoka,K,6,Elementary,http://www.haaheo.org/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
-157.708494574739,21.2965355927332,28,108,Hahaione Elementary,595 Pepeekeo Street,Honolulu,96825,808.397.5822,808.397.5827,Shannon C Goo,K,5,Elementary,http://www.hahaionees.org/,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-156.322500746969,20.9282053824208,29,401,Haiku Elementary,105 Pauwela Road,Haiku,96708,808.575.3000,808.575.3003,Desiree Sumiko Nani Sides,K,5,Elementary,https://sites.google.com/site/haikuelementary/,Kekaulike,Baldwin-Kekaulike-Maui,Maui,Maui,0,2023/02/02 00:00:00+00
-158.113275844185,21.584678297686,30,206,Haleiwa Elementary,66-505 Haleiwa Road,Haleiwa,96712,808.637.8237,808.637.8240,Malaea Frances Powell Wetzel,K,6,Elementary,http://www.haleiwa.k12.hi.us,Waialua,Leilehua-Mililani-Waialua,Central,Oahu,0,2023/02/02 00:00:00+00
-156.000499889072,20.7756137024571,31,402,Hana High and Elementary,4111 Hana Highway,Hana,96713,808.248.4815,808.248.4819,Richard Ward Paul,K,12,Elementary-Middle-High,http://www.hanak12school.org/,Hana,Hana-Lahainaluna-Lanai-Molokai,Maui,Maui,0,2023/02/02 00:00:00+00
-159.502032317601,22.2009939885458,32,452,Hanalei Elementary,5-5415 Kuhio Highway,Hanalei,96714,808.826.4300,808.826.4302,Taharaa Maree Stein,K,6,Elementary,http://www.hanalei.k12.hi.us/,Kapaa,Kapaa-Kauai-Waimea,Kauai,Kauai,0,2023/02/02 00:00:00+00
-157.907965279227,21.607396311782,33,303,Hauula Elementary,54-046 Kamehameha Highway,Hauula,96717,808.293.8925,808.293.8927,Uilani K Kaitoku,K,6,Elementary,https://www.facebook.com/hauulaelementary/,Kahuku,Castle-Kahuku,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.814044260783,21.2733036691022,34,470,Hawai`i School for the Deaf and the Blind,3440 Leahi Avenue,Honolulu,96815,808.733.4999,808.733.4824,Angel Manuel Ramos,K,12,Elementary-Middle-High,http://www.hsdb.k12.hi.us/,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.80913445579,21.4191608398519,35,304,Heeia Elementary,46-202 Haiku Road,Kaneohe,96744,808.233.5677,808.233.5679,Alma M Souki,K,6,Elementary,http://heeiahawks.weebly.com/,Castle,Castle-Kahuku,Windward,Oahu,0,2023/02/02 00:00:00+00
-158.023417848959,21.5135306160447,36,208,Helemano Elementary,1001 Ihi Ihi Avenue,Wahiawa,96786,808.622.6336,808.622.6368,Ernest C Muh,K,5,Elementary,http://www.helemano.k12.hi.us/,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,0,2023/02/02 00:00:00+00
-157.962228149409,21.3432910095187,37,209,Hickam Elementary,Manzelman Circle,Honolulu,96818,808.421.4148,808.421.4157,Alisa Ann Estrella Bender,K,6,Elementary,http://www.hickam.k12.hi.us/,Radford,Aiea Moanalua-Radford,Central,Oahu,0,2023/02/02 00:00:00+00
-157.96206181471,21.400259373596,38,255,Highlands Intermediate,1460 Hoolaulea Street,Pearl City,96782,808.453.6480,808.453.6484,Amy E Martinson,7,8,Middle,http://www.highlands.k12.hi.us/,Pearl City,Pearl City-Waipahu,Leeward,Oahu,0,2023/02/02 00:00:00+00
-155.095875464434,19.7228274158382,39,355,Hilo High,556 Waianuenue Avenue,Hilo,96720,808.313-5500,808.974.4036,Robert R Dircks,9,12,High,http://www.hilohs.k12.hi.us,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
-155.095270379854,19.7210767180846,40,356,Hilo Intermediate,587 Waianuenue Avenue,Hilo,96720,808.974.4955,808.974.6184,Heather Leigh Dansdill,7,8,Middle,http://www.edline.net/pages/Hilo_Intermediate_School,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
-155.090691283364,19.7228738084437,41,357,Hilo Union Elementary,506 Waianuenue Avenue,Hilo,96720,808.933.0900,808.933.0905,Bryan Kekoa Arbles,K,6,Elementary,http://hilounion.weebly.com/,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
-157.813418954258,21.2907982640367,42,109,Hokulani Elementary,2940 Kamakini Street,Honolulu,96816,808.733.4789,808.733.4792,Laurie L Q Luczak,K,5,Elementary,http://www.hokulani-elementary.com/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-158.021132231798,21.3390805001007,43,280,Holomua Elementary,91-1561 Keaunui Drive,Ewa Beach,96706,808.685.2000,808.685.2003,Gary Tsutomu Yasui,K,6,Elementary,http://holomuael.blogspot.com/,Campbell,Campbell-Kapolei,Leeward,Oahu,0,2023/02/02 00:00:00+00
-155.949121948429,19.6171301825344,44,358,Holualoa Elementary,76-5957 Mamalahoa Highway,Holualoa,96725,808.322.4800,808.322.4801,Glenn Edward II Gray,K,5,Elementary,http://holualoahawks.org/wp/,Kealakehe,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
-155.879660790197,19.4507234249178,45,359,Honaunau Elementary,83-5360 Mamalahoa Highway,Captain Cook,96704,808.328.2727,808.328.2729,Noreen Hatsuko Kunitomo,K,5,Elementary,http://honaunauelementaryschool.weebly.com,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
-155.4655499588,20.0753331015936,46,361,Honokaa Elementary,45-534 Pakalana Street,Honokaa,96727,808.775.8820,808.775.8828,Rory John Souza,K,6,Elementary,http://www.honokaael.k12.hi.us/,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
-155.46249133922,20.076894242959,47,360,Honokaa High and Intermediate,45-527 Pakalana Street,Honokaa,96727,808.775.8800,808.775.8803,Rachelle Matsumura,7,12,Intermediate,http://www.honokaa.k12.hi.us/,Honokaa,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
-158.026507675043,21.384208805084,48,276,Honowai Elementary,94-600 Honowai Street,Waipahu,96797,808.675.0165,808.675.0167,Kent R Matsumura,K,6,Elementary,http://honowai.org/,Waipahu,Pearl City-Waipahu,Leeward,Oahu,0,2023/02/02 00:00:00+00
-158.070932698489,21.3268446716588,49,293,Hookele Elementary,511 Kunehi Street,Kapolei,96707,808.305.8500, ,Laureen Michiko Dunn,K,5,Elementary,http://hookele.hidoe.us/,Kapolei,Campbell-Kapolei,Leeward,Oahu,0,2023/02/02 00:00:00+00
-155.878029038778,19.3869325928485,50,363,Hookena Elementary,86-4355 Mamalahoa Highway,Captain Cook,96704,808.328.2710,808.328.2712,Nancy Louise Jadallah,K,5,Elementary,http://www.hookena.k12.hi.us,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
-156.501228080902,20.8849752247803,51,404,Iao Intermediate,260 South Market Street,Wailuku,96793,808.984.5610,808.984.5617,Matthew Joseph Ernest Dillon,6,8,Middle,http://iao.k12.hi.us/,Baldwin,Baldwin-Kekaulike-Maui,Maui,Maui,0,2023/02/02 00:00:00+00
-157.999637461677,21.5065187645871,52,210,Iliahi Elementary,2035 California Avenue,Wahiawa,96786,808.622.6411,808.622.6413,Garett Y Yukumoto,K,5,Elementary,http://www.iliahiel.k12.hi.us,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,0,2023/02/02 00:00:00+00
-158.011595834461,21.3147290016332,53,279,Ilima Intermediate,91-884 Fort Weaver Road,Ewa Beach,96706,808.689.1250,808.689.1258,Christopher D Bonilla,7,8,Middle,http://ilimaintermediate.com/,Campbell,Campbell-Kapolei,Leeward,Oahu,0,2023/02/02 00:00:00+00
-158.055611617192,21.499323599689,54,207,Inouye Elementary,1 Ayres Avenue,Wahiawa,96786,808.305.3400,808.622.6382,Jan W A Iwase,K,5,Elementary,https://www.dkies.org,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,0,2023/02/02 00:00:00+00
-157.98150082488,21.3190174189254,55,256,Iroquois Point Elementary,5553 Cormorant Avenue,Ewa Beach,96706,808.499.6500,808.499.6508,Ofelia Acosta Reed,K,6,Elementary,http://iroquois.k12.hi.us/,Campbell,Campbell-Kapolei,Leeward,Oahu,0,2023/02/02 00:00:00+00
-157.79811316508,21.2974954220881,56,110,Jarrett Middle,1903 Palolo Avenue,Honolulu,96816,808.733.4888,808.733.4894,Reid Masaichi Kuba,6,8,Middle,http://www.jmshi.org,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.819349190209,21.2721800272391,57,111,Jefferson Elementary,324 Kapahulu Avenue,Honolulu,96815,808.971.6922,808.971.6933,Garret S Zakahi,K,5,Elementary,http://jeffersonsurfers.k12.hi.us/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.846529444905,21.5474499860537,58,305,Kaaawa Elementary,51-296 Kamehameha Highway,Kaaawa,96730,808.237.7751,808.237.7755,Jennifer L Luke Payne,K,6,Elementary,http://kaaawa.k12.hi.us/,Kahuku,Castle-Kahuku,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.843930297894,21.3028475517522,59,112,Kaahumanu Elementary,1141 Kinau Street,Honolulu,96814,808.587.4414,808.587.4415,Cindy Chong Hye Yun-Kim,K,5,Elementary,http://www.qkes.us/,McKinley,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-158.036280679433,21.4933097667205,60,211,Kaala Elementary,130 California Avenue,Wahiawa,96786,808.622.6366,808.622.6368,Samuel E Bennett,K,5,Elementary,http://www.kaala.k12.hi.us/,Leilehua,Leilehua-Mililani-Waialua,Central,Oahu,0,2023/02/02 00:00:00+00
-157.740998515036,21.3815816988711,61,330,Kaelepulu Elementary,530 Keolu Drive,Kailua,96734,808.266.7811,808.266.7813,Thomas Franklin Swan,K,6,Elementary,http://www.kaelepululadybugs.k12.hi.us/,Kailua,Kailua-Kalaheo,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.869551063545,21.3454839473973,62,113,Kaewai Elementary,1929 Kamehameha IV Road,Honolulu,96819,808.832.3500,808.832.3509,Bert Chris Carter,K,5,Elementary,http://www.kaewaielementary.com/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-155.977160209236,19.6133436929133,63,371,Kahakai Elementary,76-147 Royal Poinciana Drive,Kailua-Kona,96740,808.313.6200,808.327.4333,James Alvin Denight,K,5,Elementary,http://kahakai.me/,Konawaena,Honokaa-Kealakehe-Kohala-Konawaena,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
-157.785302782455,21.2738945277072,64,114,Kahala Elementary,4559 Kilauea Avenue,Honolulu,96816,808.733.8455,808.733.4669,Christine Kinau Gardner,K,5,Elementary,http://kahalaelementary.org,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.844847578075,21.4577959553474,65,306,Kahaluu Elementary,47-280 Waihee Road,Kaneohe,96744,808.239.3101,808.239.3102,Gary H Harada,K,6,Elementary,https://sites.google.com/a/kahaluu.k12.hi.us/kahaluu-elementary-school/home,Castle,Castle-Kahuku,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.95173993385,21.6748077907062,66,331,Kahuku Elementary,56-170 Pualalea Street,Kahuku,96731,808.293.8980,808.293.8985,Samuel Koji Izumi,K,6,Elementary,http://www.kahukuelementary.com/,Kahuku,Castle-Kahuku,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.947035760178,21.6761797032999,67,307,Kahuku High and Intermediate,56-490 Kamehameha Highway,Kahuku,96731,808.293.8950,808.293.8960,Donna Rea P Lindsey,7,12,Intermediate,http://www.kahukuhigh.org/,Kahuku,Castle-Kahuku,Windward,Oahu,0,2023/02/02 00:00:00+00
-156.469976505985,20.8789750467993,68,405,Kahului Elementary,410 South Hina Avenue,Kahului,96732,808.873.3055,808.873.3089,Lisa Gaye McClintock,K,5,Elementary,http://kahuluischool.k12.hi.us/,Maui,Baldwin-Kekaulike-Maui,Maui,Maui,0,2023/02/02 00:00:00+00
-157.741666365134,21.3956403693908,69,308,Kailua Elementary,315 Kuulei Road,Kailua,96734,808.266.7878,808.266.7882,James Salem Rippard,K,6,Elementary,http://kailuaonline.net,Kalaheo,Kailua-Kalaheo,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.748833846958,21.3843015333488,70,309,Kailua High,451 Ulumanu Drive,Kailua,96734,808.266.7900,808.266.7915,Francine W Honda,9,12,High,http://kailuahs.wix.com/kailuahigh,Kailua,Kailua-Kalaheo,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.735952752536,21.3952140268769,71,310,Kailua Intermediate,145 South Kainalu Drive,Kailua,96734,808.263.1500,808.266.7984,Lisa Anne Delong,7,8,Middle,http://kailuain.k12.hi.us/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,0,2023/02/02 00:00:00+00
-158.008480361846,21.3196603745405,72,281,Kaimiloa Elementary,91-1028 Kaunolu Street,Ewa Beach,96706,808.689.1280,808.689.1284,Debra L Hatada,K,6,Elementary,http://www.kaimiloa.k12.hi.us/,Campbell,Campbell-Kapolei,Leeward,Oahu,0,2023/02/02 00:00:00+00
-157.815858417539,21.2878517956191,73,115,Kaimuki High,2705 Kaimuki Avenue,Honolulu,96816,808.733.4900,808.733.4929,Wade R Araki,9,12,High,http://www.kaimukihs.org/,Kaimuki,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.797604992471,21.2700995496188,74,116,Kaimuki Middle,631 18th Avenue,Honolulu,96816,808.733.4800,808.733.4810,Frank K Fernandes,6,8,Middle,http://www.kaimukimiddle.org/,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.747982393161,21.4139287603461,75,311,Kainalu Elementary,165 Kaiholu Street,Kailua,96734,808.266.7835,808.266.7837,Sheri L K Sunabe,K,6,Elementary,http://www.kainaluonline.net/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.6976243373,21.2860801866824,76,154,Kaiser High,511 Lunalilo Home Road,Honolulu,96825,808.394.1200,808.394.1201,Justin Sung Nam Mew,9,12,High,http://www.kaiserhighschoolhawaii.org,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.866934439249,21.321407514009,77,117,Kaiulani Elementary,783 North King Street,Honolulu,96817,808.832.3160,808.832.3164,Jill H Puletasi,K,5,Elementary,http://www.kaiulani.k12.hi.us/,McKinley,Kaimuki-McKinley-Roosevelt,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-159.521956857839,21.9229124085561,78,453,Kalaheo Elementary,4400 Maka Road,Kalaheo,96741,808.332.6801,808.332.6804,Erik Dennis Burkman,K,5,Elementary,http://www.kalaheoschool.com/,Waimea,Kapaa-Kauai-Waimea,Kauai,Kauai,0,2023/02/02 00:00:00+00
-157.757895259636,21.4079705506035,79,312,Kalaheo High,730 Iliaina Street,Kailua,96734,808.254.7900,808.254.7907,Susan C W Hummel,9,12,High,http://www.kalaheohigh.org/,Kalaheo,Kailua-Kalaheo,Windward,Oahu,0,2023/02/02 00:00:00+00
-157.876899755074,21.3295534302785,80,118,Kalakaua Middle,821 Kalihi Street,Honolulu,96819,808.832.3130,808.832.3140,Brian T Fukuda,6,8,Middle,http://www.kalakauamiddle.org/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-156.321181359863,20.8496099404964,81,420,Kalama Intermediate,120 Makani Road,Makawao,96768,808.573.8735,808.573.8748,Timothy A Shim,6,8,Middle,http://kalamaintermediate.com/,Kekaulike,Baldwin-Kekaulike-Maui,Maui,Maui,0,2023/02/02 00:00:00+00
-157.773770274168,21.2773170918483,82,119,Kalani High,4680 Kalanianaole Highway,Honolulu,96821,808.377.7744,808.377.2483,Mitchell H Otani,9,12,High,http://www.kalanihighschool.org/,Kalani,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-155.094730594983,19.7901432407906,83,365,Kalanianaole Elementary and Intermediate,27-330 Old Mamalahoa Highway,Papaikou,96781,808.964.9700,808.964.9703,David Lawrence Dinkel,K,8,Elementary-Middle,http://kalanianaole.k12.hi.us,Hilo,Hilo-Waiakea,Hawaii,Hawaii,0,2023/02/02 00:00:00+00
-158.027184849425,21.3921880507685,84,287,Kaleiopuu Elementary,94-665 Kaaholo Street,Waipahu,96797,808.675.0266,808.675.0269,Pat Y Anbe,K,6,Elementary,http://www.kaleiopuuel.com/,Waipahu,Pearl City-Waipahu,Leeward,Oahu,0,2023/02/02 00:00:00+00
-157.86055345981,21.3522287643105,85,120,Kalihi Elementary,2471 Kula Kolea Drive,Honolulu,96819,808.832.3177,808.832.3179,William George II Grindell,K,5,Elementary,http://kalihi.k12.hi.us/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.877481356871,21.3261232646786,86,121,Kalihi Kai Elementary,626 McNeil Street,Honolulu,96817,808.832.3322,808.832.3327,Laura Akemi Vines,K,5,Elementary,http://kalihikai.org/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.862010060204,21.3456074929128,87,122,Kalihi Uka Elementary,2411 Kalihi Street,Honolulu,96819,808.305.6200,808.832.3313,Laura L Ahn,K,5,Elementary,http://www.kalihiuka.k12.hi.us/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-157.875565218309,21.33559672241,88,123,Kalihi Waena Elementary,1240 Gulick Avenue,Honolulu,96819,808.832.3210,808.832.3213,Veronica Helen Victor,K,5,Elementary,http://www.kwes.k12.hi.us/,Farrington,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
-159.387566798944,21.9674919163789,89,448,Kamakahelei Middle,4431 Nuhou St.,Lihue,96766,808.241.3200,808.241.3210,Debra K Badua,6,8,Middle,http://www.ckms.k12.hi.us,Kauai,Kapaa-Kauai-Waimea,Kauai,Kauai,0,2023/02/02 00:00:00+00
-156.439102684853,20.7214292710868,90,431,Kamalii Elementary,180 Kealii Alanui,Kihei,96753,808.875.6840,808.875.6843,Cynthia Rothdeutsch,K,5,Elementary,https://kamaliischool.org/,Maui,Baldwin-Kekaulike-Maui,Maui,Maui,0,2023/08/14 00:00:00+00
-156.67688479003,20.8713284881809,91,406,Kamehameha III Elementary,611 Front Street,Lahaina,96761,808.662.3955,808.662.3958,Steven Dale Franz,K,5,Elementary,http://kingkam.k12.hi.us/,Lahainaluna,Hana-Lahainaluna-Lanai-Molokai,Maui,Maui,0,2023/02/02 00:00:00+00
-157.686035435189,21.294227268558,92,155,Kamiloiki Elementary,7788 Hawaii Kai Drive,Honolulu,96825,808.397.5800,808.397.5806,Jason Kiyotaka Yoshimoto,K,5,Elementary,http://www.kamiloikielementary.org/,Kaiser,Farrington-Kaiser-Kalani,Honolulu,Oahu,0,2023/02/02 00:00:00+00
