objectid,fid_1,acres,tmk8_num,tmk8_alph,tmk_9,type,osds_class,x,y,soil_qty,soil_n,soil_p,soil_fc,soil_eff,soil_nflx,soil_pflx,st_qty_1,st_n_1,st_p_1,st_fc_1,st_eff_1,st_nflx_1,st_pflx_1,au_qty,au_n,au_p,au_fc,au_eff,au_nflx,au_pflx,cp_qty,cp_n,cp_p,cp_fc,cp_eff,cp_nflx,cp_pflx,ttl_osds,ttl_eff,ttl_n,ttl_p,rsk_score,towns
11,4799,0.12,49007012,49007012,149007012,CESSPOOL,Class IV,620570,2381260,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,4,KAHALUU
12,4800,0.1,49007011,49007011,149007011,CESSPOOL,Class IV,620584,2381230,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,200,0.046180,0.012870,1,200,0.0462,0.0129,4,KAHALUU
13,4803,0.23,49007009,49007009,149007009,CESSPOOL,Class IV,620635,2381150,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,4,KAHALUU
14,4804,0.36,49007007,49007007,149007007,CESSPOOL,Class IV,620646,2381120,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,4,KAHALUU
15,4805,0.19,49007006,49007006,149007006,CESSPOOL,Class IV,620648,2381090,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,200,0.046180,0.012870,1,200,0.0462,0.0129,4,KAHALUU
16,4810,118.76,49004002,49004002,149004002,SOIL_TMT,Class I,620055,2379980,1,1,2,13,600,0.002271,0.004542, , , , , , , , , , , , , , , , , , , , , ,1,600,0.0023,0.0045,1,KAHALUU
17,4811,153.23,49005001,49005001,149005001,CESSPOOL,Class IV,620384,2380820,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1000,0.230890,0.064350,1,1000,0.2309,0.0643,2,KAHALUU
18,4812,0.11,49009016,49009016,149009016,CESSPOOL,Class IV,620589,2379920,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,4,KAHALUU
19,4813,48.2,49003001,49003001,149003001,SOIL_TMT,Class I,619161,2379150,1,1,2,13,130,0.000492,0.000984, , , , , , , , , , , , , , , , , , , , , ,1,130,0.0005,0.001,2,KAHALUU
20,4814,0.16,49002008,49002008,149002008,CESSPOOL,Class IV,618727,2379030,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,2,KAHALUU
21,4815,0.23,49003011,49003011,149003011,CESSPOOL,Class IV,618754,2379000,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,2,KAHALUU
22,4816,0.26,49003010,49003010,149003010,CESSPOOL,Class IV,618809,2378990,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1200,0.277060,0.077210,1,1200,0.2771,0.0772,2,KAHALUU
23,4817,146.33,49004001,49004001,149004001,CESSPOOL,Class IV,620311,2379380,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,3,KAHALUU
24,4819,0.78,49001016,49001016,149001016,CESSPOOL,Class IV,618564,2378650,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,2,KAHALUU
25,4838,2.17,49001002,49001002,149001002,SOIL_TMT,Class I,618540,2378260,1,1,2,13,800,0.003028,0.006056, , , , , , , , , , , , , , , , , , , , , ,1,800,0.003,0.0061,2,KAHALUU
26,4839,3.34,49003002,49003002,149003002,CESSPOOL,Class IV,618942,2378610,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,4,KAHALUU
27,4840,2.36,49001027,49001027,149001027,CESSPOOL,Class IV,618782,2378170,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1000,0.230890,0.064350,1,1000,0.2309,0.0643,4,KAHALUU
28,4841,2.42,49003032,49003032,149003032,MULTIPLE,Multiple,618687,2378910,1,1,2,13,600,0.002271,0.004542,1,36,13,1000000,600,0.081756,0.029523, , , , , , , , , , , , , , ,2,1200,0.084,0.0341,3,KAHALUU
29,4842,0.78,49003019,49003019,149003019,CESSPOOL,Class IV,618868,2378910,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1200,0.277060,0.077210,1,1200,0.2771,0.0772,3,KAHALUU
30,4843,1.09,49003007,49003007,149003007,CESSPOOL,Class IV,618738,2378840,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,3,KAHALUU
31,4844,1.25,49003030,49003030,149003030,SOIL_TMT,Class I,618760,2378810,1,1,2,13,200,0.000757,0.001514, , , , , , , , , , , , , , , , , , , , , ,1,200,0.0008,0.0015,3,KAHALUU
32,4845,0.34,49003006,49003006,149003006,SOIL_TMT,Class I,618805,2378720,1,1,2,13,1000,0.003785,0.00757, , , , , , , , , , , , , , , , , , , , , ,1,1000,0.0038,0.0076,3,KAHALUU
33,4846,0.22,49003037,49003037,149003037,CESSPOOL,Class IV,618836,2378770,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,200,0.046180,0.012870,1,200,0.0462,0.0129,3,KAHALUU
34,4847,0.94,49003004,49003004,149003004,CESSPOOL,Class IV,618888,2378730,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,3,KAHALUU
35,4848,3.38,49001006,49001006,149001006,CESSPOOL,Class IV,618308,2378410,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,3,KAHALUU
36,4849,4.96,49001018,49001018,149001018,CESSPOOL,Class IV,618654,2378350,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,3,KAHALUU
37,4850,1.71,49001005,49001005,149001005,CESSPOOL,Class IV,618396,2378370,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1000,0.230890,0.064350,1,1000,0.2309,0.0643,3,KAHALUU
38,4851,3.92,49001028,49001028,149001028,CESSPOOL,Class IV,618763,2378220,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,3,KAHALUU
39,4852,2.17,49001026,49001026,149001026,CESSPOOL,Class IV,618799,2378130,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,3,KAHALUU
40,4853,2.08,49001025,49001025,149001025,CESSPOOL,Class IV,618814,2378090,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,3,KAHALUU
41,4854,1.96,49001024,49001024,149001024,CESSPOOL,Class IV,618827,2378050,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,3,KAHALUU
42,4855,1.85,49001023,49001023,149001023,SOIL_TMT,Class I,618840,2378010,2,1,2,13,2000,0.00757,0.01514, , , , , , , , , , , , , , , , , , , , , ,2,2000,0.0076,0.0151,3,KAHALUU
43,4856,1.96,49001022,49001022,149001022,SOIL_TMT,Class I,618854,2377960,1,1,2,13,600,0.002271,0.004542, , , , , , , , , , , , , , , , , , , , , ,1,600,0.0023,0.0045,3,KAHALUU
44,4857,1,48003050,48003050,148003050,SOIL_TMT,Class I,618868,2377930,2,1,2,13,1000,0.003785,0.00757, , , , , , , , , , , , , , , , , , , , , ,2,1000,0.0038,0.0076,3,KAHALUU
45,4858,1.06,48003049,48003049,148003049,SOIL_TMT,Class I,618877,2377900,1,1,2,13,600,0.002271,0.004542, , , , , , , , , , , , , , , , , , , , , ,1,600,0.0023,0.0045,3,KAHALUU
46,4859,1.05,48003007,48003007,148003007,SOIL_TMT,Class I,618885,2377880,1,1,2,13,1000,0.003785,0.00757, , , , , , , , , , , , , , , , , , , , , ,1,1000,0.0038,0.0076,3,KAHALUU
47,4862,0.92,48003048,48003048,148003048,SOIL_TMT,Class I,618934,2377850,1,1,2,13,800,0.003028,0.006056, , , , , , , , , , , , , , , , , , , , , ,1,800,0.003,0.0061,3,KAHALUU
48,4863,0.96,48003024,48003024,148003024,CESSPOOL,Class IV,618975,2377770,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,200,0.046180,0.012870,1,200,0.0462,0.0129,3,KAHALUU
49,4864,0.28,48003033,48003033,148003033,SOIL_TMT,Class I,618945,2377790,1,1,2,13,1000,0.003785,0.00757, , , , , , , , , , , , , , , , , , , , , ,1,1000,0.0038,0.0076,3,KAHALUU
50,4865,0.17,48003032,48003032,148003032,CESSPOOL,Class IV,618922,2377800,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,3,KAHALUU
51,4866,0.28,48003031,48003031,148003031,CESSPOOL,Class IV,618909,2377780,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,3,KAHALUU
52,4867,0.11,48003053,48003053,148003053,CESSPOOL,Class IV,618933,2377780,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,3,KAHALUU
53,4868,0.28,48003034,48003034,148003034,CESSPOOL,Class IV,618960,2377730,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,3,KAHALUU
54,4869,0.13,48003035,48003035,148003035,CESSPOOL,Class IV,618934,2377730,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,3,KAHALUU
55,4870,0.14,48003036,48003036,148003036,CESSPOOL,Class IV,618928,2377700,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1000,0.230890,0.064350,1,1000,0.2309,0.0643,3,KAHALUU
56,4871,0.14,48003051,48003051,148003051,SOIL_TMT,Class I,618915,2377720,1,1,2,13,1000,0.003785,0.00757, , , , , , , , , , , , , , , , , , , , , ,1,1000,0.0038,0.0076,3,KAHALUU
57,4872,0.17,48003037,48003037,148003037,CESSPOOL,Class IV,618907,2377700,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,3,KAHALUU
58,4873,0.76,48003010,48003010,148003010,CESSPOOL,Class IV,618958,2377680,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,3,KAHALUU
59,4874,2.3,48005013,48005013,148005013,CESSPOOL,Class IV,618735,2377850,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,2,KAHALUU
60,4875,0.99,48003008,48003008,148003008,CESSPOOL,Class IV,618865,2377830,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,2,KAHALUU
61,4876,2.16,48005003,48005003,148005003,CESSPOOL,Class IV,618775,2377780,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,2,KAHALUU
62,4877,0.29,48003030,48003030,148003030,CESSPOOL,Class IV,618865,2377790,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,2,KAHALUU
63,4878,0.29,48003029,48003029,148003029,CESSPOOL,Class IV,618873,2377770,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,2,KAHALUU
64,4879,0.27,48003028,48003028,148003028,CESSPOOL,Class IV,618881,2377750,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,2,KAHALUU
65,4880,1.52,48005002,48005002,148005002,SOIL_TMT,Class I,618799,2377710,1,1,2,13,600,0.002271,0.004542, , , , , , , , , , , , , , , , , , , , , ,1,600,0.0023,0.0045,2,KAHALUU
66,4881,0.11,48003046,48003046,148003046,CESSPOOL,Class IV,618895,2377720,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,2,KAHALUU
67,4882,0.16,48003017,48003017,148003017,CESSPOOL,Class IV,618878,2377720,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,2,KAHALUU
68,4883,0.15,48003047,48003047,148003047,CESSPOOL,Class IV,618889,2377690,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,2,KAHALUU
69,4884,1.22,48005008,48005008,148005008,CESSPOOL,Class IV,618822,2377660,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,2,KAHALUU
70,4885,0.27,48003045,48003045,148003045,CESSPOOL,Class IV,618910,2377660,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1200,0.277060,0.077210,1,1200,0.2771,0.0772,2,KAHALUU
71,4886,0.19,48003039,48003039,148003039,SOIL_TMT,Class I,618972,2377650,1,1,2,13,800,0.003028,0.006056, , , , , , , , , , , , , , , , , , , , , ,1,800,0.003,0.0061,2,KAHALUU
72,4887,0.2,48003038,48003038,148003038,CESSPOOL,Class IV,618947,2377640,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,2,KAHALUU
73,4888,1.24,48005009,48005009,148005009,CESSPOOL,Class IV,618840,2377610,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,2,KAHALUU
74,4889,0.22,48003025,48003025,148003025,CESSPOOL,Class IV,618920,2377630,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1000,0.230890,0.064350,1,1000,0.2309,0.0643,2,KAHALUU
75,4890,0.52,48003026,48003026,148003026,SOIL_TMT,Class I,618969,2377610,1,1,2,13,600,0.002271,0.004542, , , , , , , , , , , , , , , , , , , , , ,1,600,0.0023,0.0045,2,KAHALUU
76,4891,0.51,48003027,48003027,148003027,SOIL_TMT,Class I,618973,2377600,1,1,2,13,1000,0.003785,0.00757, , , , , , , , , , , , , , , , , , , , , ,1,1000,0.0038,0.0076,2,KAHALUU
77,4892,0.99,48003011,48003011,148003011,CESSPOOL,Class IV,618990,2377570,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,2,KAHALUU
78,4904,237.96,49002001,49002001,149002001,CESSPOOL,Class IV,618643,2379350,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,1,KAHALUU
79,4905,1.8,49001017,49001017,149001017,SOIL_TMT,Class I,618480,2378680,1,1,2,13,600,0.002271,0.004542, , , , , , , , , , , , , , , , , , , , , ,1,600,0.0023,0.0045,1,KAHALUU
80,4906,4.15,49001007,49001007,149001007,CESSPOOL,Class IV,618356,2378500,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,200,0.046180,0.012870,1,200,0.0462,0.0129,1,KAHALUU
81,4907,2.32,48005014,48005014,148005014,CESSPOOL,Class IV,618763,2377570,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,1,KAHALUU
82,4908,2.42,48005015,48005015,148005015,CESSPOOL,Class IV,618708,2377550,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,1,KAHALUU
83,4909,0.56,48003012,48003012,148003012,CESSPOOL,Class IV,619246,2377230,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,4,KAHALUU
84,4919,0.84,48002008,48002008,148002008,CESSPOOL,Class IV,619173,2376630,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,4,KAHALUU
85,4930,0.99,48010008,48010008,148010008,CESSPOOL,Class IV,619200,2376400,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,4,KAHALUU
86,4931,3.45,48009028,48009028,148009028,SOIL_TMT,Class I,619037,2376160,1,1,2,13,800,0.003028,0.006056, , , , , , , , , , , , , , , , , , , , , ,1,800,0.003,0.0061,2,KAHALUU
87,4932,13.59,48002001,48002001,148002001,CESSPOOL,Class IV,619677,2376090,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,4,KAHALUU
88,4934,329.26,48006001,48006001,148006001,CESSPOOL,Class IV,617092,2377160,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,1,KAHALUU
89,4935,47.63,48012010,48012010,148012010,SOIL_TMT,Class I,618238,2376280,1,1,2,13,1000,0.003785,0.00757, , , , , , , , , , , , , , , , , , , , , ,1,1000,0.0038,0.0076,1,KAHALUU
90,4936,3.82,48012030,48012030,148012030,CESSPOOL,Class IV,617253,2376350,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,1,KAHALUU
91,4937,4.21,48012020,48012020,148012020,CESSPOOL,Class IV,617106,2376320,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,1,KAHALUU
92,4938,15.84,48012023,48012023,148012023,SOIL_TMT,Class I,618544,2376140,1,1,2,13,800,0.003028,0.006056, , , , , , , , , , , , , , , , , , , , , ,1,800,0.003,0.0061,1,KAHALUU
93,4939,12.85,48010002,48010002,148010002,CESSPOOL,Class IV,618824,2376240,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,1,KAHALUU
94,4940,1.02,48012029,48012029,148012029,CESSPOOL,Class IV,617690,2376250,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,1,KAHALUU
95,4941,5.57,48012032,48012032,148012032,CESSPOOL,Class IV,617157,2376210,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,2,KAHALUU
96,4942,14.97,48012022,48012022,148012022,CESSPOOL,Class IV,617548,2376160,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,2,KAHALUU
97,4943,0.26,48012016,48012016,148012016,SEPTIC,Class II,617126,2376230,0,0,0,0,0,0,0,1,36,13,1000000,600,0.081756,0.029523, , , , , , , , , , , , , , ,1,600,0.0818,0.0295,2,KAHALUU
98,4944,0.66,48003043,48003043,148003043,SOIL_TMT,Class I,619052,2377530,1,1,2,13,600,0.002271,0.004542, , , , , , , , , , , , , , , , , , , , , ,1,600,0.0023,0.0045,3,KAHALUU
99,4945,0.94,48003003,48003003,148003003,CESSPOOL,Class IV,618991,2377530,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,3,KAHALUU
100,4946,2.1,48005011,48005011,148005011,SOIL_TMT,Class I,618888,2377480,1,1,2,13,800,0.003028,0.006056, , , , , , , , , , , , , , , , , , , , , ,1,800,0.003,0.0061,3,KAHALUU
101,4947,0.33,48003054,48003054,148003054,CESSPOOL,Class IV,619028,2377490,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,3,KAHALUU
102,4948,0.57,48003019,48003019,148003019,SEPTIC,Class II,618996,2377490,0,0,0,0,0,0,0,1,36,13,1000000,600,0.081756,0.029523, , , , , , , , , , , , , , ,1,600,0.0818,0.0295,3,KAHALUU
103,4949,25.68,48003001,48003001,148003001,CESSPOOL,Class IV,619231,2377080,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,800,0.184710,0.051480,1,800,0.1847,0.0515,3,KAHALUU
104,4950,2.05,48005016,48005016,148005016,CESSPOOL,Class IV,618814,2377420,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,3,KAHALUU
105,4951,2.09,48003002,48003002,148003002,SOIL_TMT,Class I,619032,2377420,1,1,2,13,540,0.002044,0.004088, , , , , , , , , , , , , , , , , , , , , ,1,540,0.002,0.0041,3,KAHALUU
106,4952,2.78,48005012,48005012,148005012,SOIL_TMT,Class I,618764,2377360,1,1,2,13,600,0.002271,0.004542, , , , , , , , , , , , , , , , , , , , , ,1,600,0.0023,0.0045,3,KAHALUU
107,4953,2.14,48005007,48005007,148005007,CESSPOOL,Class IV,618707,2377380,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,3,KAHALUU
108,4954,7.85,48003016,48003016,148003016,CESSPOOL,Class IV,619116,2377200,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,200,0.046180,0.012870,1,200,0.0462,0.0129,3,KAHALUU
109,4955,2.04,48005006,48005006,148005006,SOIL_TMT,Class I,618655,2377380,2,1,2,13,1200,0.004542,0.009084, , , , , , , , , , , , , , , , , , , , , ,2,1200,0.0045,0.0091,3,KAHALUU
110,4956,6.45,48004016,48004016,148004016,CESSPOOL,Class IV,618726,2376800,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,2,61,17,1000000,1600,0.369420,0.102950,2,1600,0.3694,0.103,3,KAHALUU
111,4957,45.09,48010003,48010003,148010003,CESSPOOL,Class IV,618940,2376440,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,600,0.138530,0.038610,1,600,0.1385,0.0386,3,KAHALUU
112,4958,0.99,48010006,48010006,148010006,CESSPOOL,Class IV,619158,2376500,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,3,KAHALUU
113,4959,4.78,48010007,48010007,148010007,SOIL_TMT,Class I,619118,2376430,1,1,2,13,1000,0.003785,0.00757, , , , , , , , , , , , , , , , , , , , , ,1,1000,0.0038,0.0076,3,KAHALUU
114,4960,4.07,48009029,48009029,148009029,CESSPOOL,Class IV,619238,2376160,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,3,KAHALUU
115,4961,0.99,48009031,48009031,148009031,CESSPOOL,Class IV,619334,2376210,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,400,0.092350,0.025740,1,400,0.0924,0.0257,3,KAHALUU
116,4971,77.51,48012005,48012005,148012005,MULTIPLE,Multiple,617207,2375900,2,1,2,13,1200,0.004542,0.009084,1,36,13,1000000,600,0.081756,0.029523, , , , , , , , , , , , , , ,3,1800,0.0863,0.0386,1,KAHALUU
117,4974,0.22,49007030,49007030,149007030,CESSPOOL,Class IV,620506,2381410,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1000,0.230890,0.064350,1,1000,0.2309,0.0643,5,KAHALUU
118,4975,0.21,49007018,49007018,149007018,CESSPOOL,Class IV,620513,2381400,0,0,0,0,0,0,0, , , , , , , , , , , , , , ,1,61,17,1000000,1000,0.230890,0.064350,1,1000,0.2309,0.0643,5,KAHALUU
119,4976,0.2,49007029,49007029,149007029,SOIL_TMT,Class I,620521,2381380,1,1,2,13,600,0.002271,0.004542, , , , , , , , , , , , , , , , , , , , , ,1,600,0.0023,0.0045,5,KAHALUU
